PersonX finds and turns on the lights  HinderedBy  [GEN]	PersonX can't find the light switch
PersonX stops someone from leaving  xAttr  [GEN]	trustworthy
PersonX is bent on making money  xIntent  [GEN]	to be rich
PersonX explains a feeling  xEffect  [GEN]	is understood
PersonX joins her employer  xReact  [GEN]	responsible
PersonX ends her engagement  xEffect  [GEN]	is no longer married
PersonX cancels the festival  xReact  [GEN]	guilty
PersonX loves flowers  xReact  [GEN]	happy
PersonX demonstrates a new golf swing  xNeed  [GEN]	to be outside
PersonX blocks his foot  xEffect  [GEN]	is injured
PersonX is careless in sending a letter  xReact  [GEN]	guilty
PersonX offers a peace-making gift  HinderedBy  [GEN]	PersonX is too busy to make a peace gift
PersonX receives a job promotion  xNeed  [GEN]	to apply
PersonX blocks PersonY's Facebook account  xIntent  [GEN]	to annoy PersonY
PersonX discusses an issue with PersonY  HinderedBy  [GEN]	PersonX is too busy to discuss the issue
PersonX keeps in contact with PersonY  xEffect  [GEN]	and PersonY become closer
PersonX makes a play  xReact  [GEN]	pleased
PersonX takes up painting  xReact  [GEN]	happy
PersonX loses the argument  xReact  [GEN]	angry
PersonX flosses teeth  xEffect  [GEN]	bleeds
PersonX touches up the living room  xReact  [GEN]	inspired
PersonX gets in the driver's seat  xReact  [GEN]	confident
PersonX follows PersonY’s every move  xIntent  [GEN]	to have a team
PersonX contemplates human nature  HinderedBy  [GEN]	PersonX is afraid of the unknown
PersonX is saving his money  xIntent  [GEN]	to save money
PersonX wants to change his way of life  xReact  [GEN]	joyful
PersonX kept her promise  xReact  [GEN]	confident
PersonX is a conscientious student  xIntent  [GEN]	to be a good student
PersonX wishes for strength  xReact  [GEN]	weak
PersonX and PersonY are punished  xAttr  [GEN]	cruel
PersonX is back in touch with PersonY  xEffect  [GEN]	is pleased with PersonY’s support
PersonX seeks an audience  xIntent  [GEN]	to entertain
PersonX is one of PersonY's children  xAttr  [GEN]	talented
PersonX gets a job in town  xAttr  [GEN]	ambitious
PersonX finds it rather hot  xWant  [GEN]	to cool off
PersonX does not speak  xIntent  [GEN]	to avoid confrontation
PersonX learns to control her emotions  xEffect  [GEN]	is able to cope with emotions
PersonX never wants to hear that joke again  xEffect  [GEN]	laughs
PersonX swims in the rain  xIntent  [GEN]	to be prepared for a storm
PersonX understands why PersonY did what she did  xAttr  [GEN]	smart
PersonX repairs the window  xNeed  [GEN]	to have the tools
PersonX loses a project  xWant  [GEN]	to do a better project
PersonX believes in the freedom of choice  xReact  [GEN]	empowered
PersonX has fun with PersonY's children  xReact  [GEN]	happy
PersonX remembers a time PersonY got on her nerves  xReact  [GEN]	annoyed
PersonX tries to steal money  xWant  [GEN]	to get away with it
PersonX wanted to be a firefighter  xEffect  [GEN]	was a firefighter
PersonX jumps in with both feet  xWant  [GEN]	to be healthy
PersonX earns a dollar an hour  HinderedBy  [GEN]	PersonX is broke
PersonX lives by a schedule  xIntent  [GEN]	to do his homework
PersonX gets a good mark on a test  HinderedBy  [GEN]	PersonX has no test scores
PersonX just wants to share the news  xAttr  [GEN]	patient
PersonX hates to sleep  xIntent  [GEN]	to stay awake with his parents
PersonX meets a stranger on the street  xAttr  [GEN]	outgoing
PersonX gets in touch with an old friend  xReact  [GEN]	pleased
PersonX lives in a special place  xIntent  [GEN]	to express herself
PersonX serves as mediator  xReact  [GEN]	helpful
PersonX meets the wrong person  xEffect  [GEN]	feels bad
PersonX goes back to baking  xWant  [GEN]	to bake more
PersonX likes their photo  xIntent  [GEN]	to show their love
PersonX considers a new perspective  HinderedBy  [GEN]	PersonX is too busy to think about a new perspective
PersonX tells someone  xReact  [GEN]	pleased
PersonX learns to walk  xReact  [GEN]	happy
PersonX puts on headphones  xWant  [GEN]	to listen to music
PersonX tosses PersonY up in the air  xIntent  [GEN]	to scare PersonY
PersonX shares a photo with PersonY  xIntent  [GEN]	to show PersonY that he cares
PersonX sells vegetables  HinderedBy  [GEN]	PersonX can't find any vegetables
PersonX is among the strongest  xNeed  [GEN]	to have enough strength
PersonX does not want to sleep  xEffect  [GEN]	sleeps
PersonX refuses to volunteer to help at the hospital  xIntent  [GEN]	to be independent
PersonX makes everyone walk through PersonY's home  xIntent  [GEN]	to protect PersonY from harm
PersonX hits PersonY in the stomach  xAttr  [GEN]	aggressive
PersonX leads PersonY to God  xAttr  [GEN]	considerate
PersonX and PersonY chat about the old days  xEffect  [GEN]	and PersonY are inspired by the past
PersonX studies hard, unlike PersonY  xIntent  [GEN]	to improve
PersonX meets a friend for dinner  xWant  [GEN]	to spend time with the friend
PersonX follows PersonY in the park  xIntent  [GEN]	to see PersonY
PersonX begins to learn to play the violin  xReact  [GEN]	interested
PersonX wraps up PersonY  xAttr  [GEN]	loving
PersonX wants to attend the meeting  xNeed  [GEN]	to want to attend the meeting
PersonX demands the truth  HinderedBy  [GEN]	PersonX can't face the truth
PersonX has been elected as a member of the Senate  xReact  [GEN]	hopeful
PersonX argues with the police  xAttr  [GEN]	stubborn
PersonX performs at the theatre  HinderedBy  [GEN]	PersonX can't find a ticket
PersonX sees PersonY in black clothes  HinderedBy  [GEN]	PersonX doesn't know PersonY
PersonX whips up a mob  xReact  [GEN]	powerful
PersonX has a strong, loyal dog  xAttr  [GEN]	a loyal dog lover
PersonX makes a quick trip  xIntent  [GEN]	to be on time
PersonX finds someone to blame  xAttr  [GEN]	ruthless
