PersonX finds and turns on the lights  can be hindered by  [GEN]	PersonX can't find the switch
PersonX stops someone from leaving  so, PersonX is seen as  [GEN]	strong
PersonX is bent on making money  because PersonX wanted  [GEN]	to be wealthy
PersonX explains a feeling  as a result, PersonX  [GEN]	is understood by others
PersonX joins her employer  as a result, PersonX feels  [GEN]	empowered
PersonX ends her engagement  as a result, PersonX  [GEN]	is single
PersonX cancels the festival  as a result, PersonX feels  [GEN]	disappointed
PersonX loves flowers  as a result, PersonX feels  [GEN]	loved
PersonX demonstrates a new golf swing  but before, PersonX needed  [GEN]	to be practicing golf
PersonX blocks his foot  as a result, PersonX  [GEN]	has pain
PersonX is careless in sending a letter  as a result, PersonX feels  [GEN]	ashamed
PersonX offers a peace-making gift  can be hindered by  [GEN]	PersonX is worried about his friends
PersonX receives a job promotion  but before, PersonX needed  [GEN]	to apply for the job
PersonX blocks PersonY's Facebook account  because PersonX wanted  [GEN]	to help PersonY
PersonX discusses an issue with PersonY  can be hindered by  [GEN]	PersonX is afraid to talk to PersonY
PersonX keeps in contact with PersonY  as a result, PersonX  [GEN]	feels safe
PersonX makes a play  as a result, PersonX feels  [GEN]	excited
PersonX takes up painting  as a result, PersonX feels  [GEN]	accomplished
PersonX loses the argument  as a result, PersonX feels  [GEN]	discouraged
PersonX flosses teeth  as a result, PersonX  [GEN]	is healthy
PersonX touches up the living room  as a result, PersonX feels  [GEN]	calm
PersonX gets in the driver's seat  as a result, PersonX feels  [GEN]	confident
PersonX follows PersonY’s every move  because PersonX wanted  [GEN]	to know what PersonY is doing
PersonX contemplates human nature  can be hindered by  [GEN]	PersonX is afraid of nature
PersonX is saving his money  because PersonX wanted  [GEN]	to pay bills
PersonX wants to change his way of life  as a result, PersonX feels  [GEN]	inspired
PersonX kept her promise  as a result, PersonX feels  [GEN]	trusted
PersonX is a conscientious student  because PersonX wanted  [GEN]	to be respected
PersonX wishes for strength  as a result, PersonX feels  [GEN]	happy
PersonX and PersonY are punished  so, PersonX is seen as  [GEN]	immature
PersonX is back in touch with PersonY  as a result, PersonX  [GEN]	and PersonY can be friends
PersonX seeks an audience  because PersonX wanted  [GEN]	to be liked
PersonX is one of PersonY's children  so, PersonX is seen as  [GEN]	good with children
PersonX gets a job in town  so, PersonX is seen as  [GEN]	competent
PersonX finds it rather hot  as a result, PersonX wants  [GEN]	to go outside
PersonX does not speak  because PersonX wanted  [GEN]	to be quiet
PersonX learns to control her emotions  as a result, PersonX  [GEN]	feels better
PersonX never wants to hear that joke again  as a result, PersonX  [GEN]	keeps going to the movies
PersonX swims in the rain  because PersonX wanted  [GEN]	to be in nature
PersonX understands why PersonY did what she did  so, PersonX is seen as  [GEN]	understanding
PersonX repairs the window  but before, PersonX needed  [GEN]	to be able to fix windows
PersonX loses a project  as a result, PersonX wants  [GEN]	to finish the project
PersonX believes in the freedom of choice  as a result, PersonX feels  [GEN]	responsible
PersonX has fun with PersonY's children  as a result, PersonX feels  [GEN]	joyful
PersonX remembers a time PersonY got on her nerves  as a result, PersonX feels  [GEN]	sorry
PersonX tries to steal money  as a result, PersonX wants  [GEN]	to tell the bank
PersonX wanted to be a firefighter  as a result, PersonX  [GEN]	gets a job
PersonX jumps in with both feet  as a result, PersonX wants  [GEN]	to be able to walk
PersonX earns a dollar an hour  can be hindered by  [GEN]	PersonX is unemployed
PersonX lives by a schedule  because PersonX wanted  [GEN]	to be on good terms with his family
PersonX gets a good mark on a test  can be hindered by  [GEN]	PersonX can't pass the class
PersonX just wants to share the news  so, PersonX is seen as  [GEN]	nice
PersonX hates to sleep  because PersonX wanted  [GEN]	to be tired
PersonX meets a stranger on the street  so, PersonX is seen as  [GEN]	adventurous
PersonX gets in touch with an old friend  as a result, PersonX feels  [GEN]	comforted
PersonX lives in a special place  because PersonX wanted  [GEN]	to be close to the community
PersonX serves as mediator  as a result, PersonX feels  [GEN]	respected
PersonX meets the wrong person  as a result, PersonX  [GEN]	is rejected
PersonX goes back to baking  as a result, PersonX wants  [GEN]	to bake more pancakes
PersonX likes their photo  because PersonX wanted  [GEN]	to be creative
PersonX considers a new perspective  can be hindered by  [GEN]	PersonX is too busy to think
PersonX tells someone  as a result, PersonX feels  [GEN]	powerful
PersonX learns to walk  as a result, PersonX feels  [GEN]	energetic
PersonX puts on headphones  as a result, PersonX wants  [GEN]	to listen to music
PersonX tosses PersonY up in the air  because PersonX wanted  [GEN]	to hurt PersonY
PersonX shares a photo with PersonY  because PersonX wanted  [GEN]	to show PersonY that he cares
PersonX sells vegetables  can be hindered by  [GEN]	PersonX can't find any vegetables
PersonX is among the strongest  but before, PersonX needed  [GEN]	to be strong enough to withstand a situation
PersonX does not want to sleep  as a result, PersonX  [GEN]	does not sleep
PersonX refuses to volunteer to help at the hospital  because PersonX wanted  [GEN]	to keep his job
PersonX makes everyone walk through PersonY's home  because PersonX wanted  [GEN]	to make PersonY feel guilty
PersonX hits PersonY in the stomach  so, PersonX is seen as  [GEN]	mean
PersonX leads PersonY to God  so, PersonX is seen as  [GEN]	a good friend
PersonX and PersonY chat about the old days  as a result, PersonX  [GEN]	and PersonY become friends
PersonX studies hard, unlike PersonY  because PersonX wanted  [GEN]	to win
PersonX meets a friend for dinner  as a result, PersonX wants  [GEN]	to spend time with that friend
PersonX follows PersonY in the park  because PersonX wanted  [GEN]	to stay in PersonY's group
PersonX begins to learn to play the violin  as a result, PersonX feels  [GEN]	excited
PersonX wraps up PersonY  so, PersonX is seen as  [GEN]	competent
PersonX wants to attend the meeting  but before, PersonX needed  [GEN]	to have a reason to attend the meeting
PersonX demands the truth  can be hindered by  [GEN]	PersonX is not allowed to talk to the truth
PersonX has been elected as a member of the Senate  as a result, PersonX feels  [GEN]	proud
PersonX argues with the police  so, PersonX is seen as  [GEN]	angry
