PersonX announces the result  xWant  [GEN]	to be the winner
PersonX takes a diploma  HinderedBy  [GEN]	PersonX is not allowed to take
PersonX is ranting  xEffect  [GEN]	is angry
PersonX is practicing  xEffect  [GEN]	is practicing
PersonX is the best person for the job  xIntent  [GEN]	to be the
PersonX visits a new town  xReact  [GEN]	excited
PersonX organizes others to work  HinderedBy  [GEN]	PersonX is afraid to
PersonX informs PersonY about her surprise  xAttr  [GEN]	confident
PersonX doesn't kill anyone  xEffect  [GEN]	is a pacifist
PersonX seems to hear PersonY  xIntent  [GEN]	to know what PersonY
PersonX can't help telling  xEffect  [GEN]	is criticized
PersonX wears a suit  xAttr  [GEN]	stylish
PersonX thinks PersonY's idea is brilliant  xReact  [GEN]	happy
PersonX bares PersonY's heart  HinderedBy  [GEN]	PersonX is afraid
PersonX throws down PersonY's gauntlet  xEffect  [GEN]	is criticized by Person
PersonX gives up and goes away  xIntent  [GEN]	to be free
PersonX weighs it all  xAttr  [GEN]	smart
PersonX does a huge favor for PersonY  xEffect  [GEN]	is thanked by Person
PersonX holds PersonY's baby  HinderedBy  [GEN]	PersonX is afraid to
PersonX is tested for the job  xEffect  [GEN]	is fired
PersonX provides for a rainy day  xAttr  [GEN]	generous
PersonX eats lots of candy  xIntent  [GEN]	to have a sweet treat
PersonX gives out advice  xEffect  [GEN]	is thanked by his friends
PersonX puts in a lot of time  HinderedBy  [GEN]	PersonX is lazy
PersonX claims to have forgiven PersonY  xIntent  [GEN]	to be forgiven
PersonX moves a towel out of the way  HinderedBy  [GEN]	PersonX is
PersonX cuts off PersonY's finger  xIntent  [GEN]	to punish PersonY
PersonX digs deep  xNeed  [GEN]	to be interested in the topic
PersonX moves to China  xIntent  [GEN]	to be closer to his family
PersonX makes a fuss about PersonY  xNeed  [GEN]	to be upset
PersonX wins a grand prize  xAttr  [GEN]	smart
PersonX makes shoes  HinderedBy  [GEN]	PersonX is allergic to shoes
PersonX is considered the blame  xReact  [GEN]	guilty
PersonX slips on the floor  xEffect  [GEN]	falls
PersonX sees Fred  xEffect  [GEN]	is impressed
PersonX is crafty  xWant  [GEN]	to be a good host
PersonX starts over  xAttr  [GEN]	ambitious
PersonX fixes the problem  xWant  [GEN]	to fix the problem
PersonX pulls PersonY back  xReact  [GEN]	happy
PersonX doesn't understand what it means  xAttr  [GEN]	confused
PersonX borrows a toy  xReact  [GEN]	angry
PersonX and PersonY form a mutual contract  xEffect  [GEN]	and PersonY are
PersonX befriends a baby  xIntent  [GEN]	to be a good friend
PersonX reads a text  xWant  [GEN]	to read the text
PersonX brings back water  xEffect  [GEN]	is thanked by his friends
PersonX has a friend over for dinner  HinderedBy  [GEN]	PersonX is too
PersonX gets a car  xEffect  [GEN]	is happy
PersonX visits a sick friend  xIntent  [GEN]	to help
PersonX writes a beautiful poem  HinderedBy  [GEN]	PersonX is too shy to
PersonX writes the blog post  xIntent  [GEN]	to share his thoughts
PersonX has been considered PersonY's best friend  xIntent  [GEN]	to be
PersonX learns a new job  xAttr  [GEN]	smart
PersonX considers the other person’s needs  xIntent  [GEN]	to be
PersonX severs relations with PersonY  xReact  [GEN]	upset
PersonX learns of a storm  HinderedBy  [GEN]	PersonX is not allowed to
PersonX is a big fan of ice hockey  HinderedBy  [GEN]	PersonX is
PersonX throws down PersonY's gauntlet  HinderedBy  [GEN]	PersonX is
PersonX works out at the gym  xAttr  [GEN]	athletic
PersonX writes notes  HinderedBy  [GEN]	PersonX is afraid to write notes
PersonX has never had a Christmas like this  xEffect  [GEN]	is sad
PersonX sees PersonY’s future  xNeed  [GEN]	to be interested in
PersonX and PersonY form a mutual contract  xNeed  [GEN]	to agree to a
PersonX waits for PersonY to come back  xIntent  [GEN]	to be with
PersonX wants to give up smoking  HinderedBy  [GEN]	PersonX is afraid to
PersonX bares PersonY's heart  xWant  [GEN]	to be a good friend
PersonX stomps his feet  xIntent  [GEN]	to be able to walk
PersonX promises it will be a success  HinderedBy  [GEN]	PersonX is not
PersonX organizes others to work  xIntent  [GEN]	to help others
PersonX visits the elderly  xEffect  [GEN]	is thanked by the elderly
PersonX becomes friendlier  HinderedBy  [GEN]	PersonX is too shy to talk
