PersonX finds and turns on the lights  HinderedBy  [GEN]	PersonX is out of the car
PersonX stops someone from leaving  xAttr  [GEN]	brave
PersonX is bent on making money  xIntent  [GEN]	to make money
PersonX explains a feeling  xEffect  [GEN]	gets an explanation
PersonX joins her employer  xReact  [GEN]	happy
PersonX ends her engagement  xEffect  [GEN]	is no longer married
PersonX cancels the festival  xReact  [GEN]	sad
PersonX loves flowers  xReact  [GEN]	compassionate
PersonX demonstrates a new golf swing  xNeed  [GEN]	to practice
PersonX blocks his foot  xEffect  [GEN]	is injured
PersonX is careless in sending a letter  xReact  [GEN]	guilty
PersonX offers a peace-making gift  HinderedBy  [GEN]	PersonX doesn't want to make peace with his wife
PersonX receives a job promotion  xNeed  [GEN]	to apply for a job
PersonX blocks PersonY's Facebook account  xIntent  [GEN]	to stop PersonY from doing what he wants
PersonX discusses an issue with PersonY  HinderedBy  [GEN]	PersonX is afraid to talk to PersonY
PersonX keeps in contact with PersonY  xEffect  [GEN]	is pleased with PersonY's behavior
PersonX makes a play  xReact  [GEN]	enthusiastic
PersonX takes up painting  xReact  [GEN]	proud
PersonX loses the argument  xReact  [GEN]	sad
PersonX flosses teeth  xEffect  [GEN]	has a clean mouth
PersonX touches up the living room  xReact  [GEN]	appreciated
PersonX gets in the driver's seat  xReact  [GEN]	happy
PersonX follows PersonY’s every move  xIntent  [GEN]	to be a good friend
PersonX contemplates human nature  HinderedBy  [GEN]	PersonX is afraid of human nature
PersonX is saving his money  xIntent  [GEN]	to be financially secure
PersonX wants to change his way of life  xReact  [GEN]	peaceful
PersonX kept her promise  xReact  [GEN]	relieved
PersonX is a conscientious student  xIntent  [GEN]	to be disciplined
PersonX wishes for strength  xReact  [GEN]	calm
PersonX and PersonY are punished  xAttr  [GEN]	bossy
PersonX is back in touch with PersonY  xEffect  [GEN]	is happy
PersonX seeks an audience  xIntent  [GEN]	to be famous
PersonX is one of PersonY's children  xAttr  [GEN]	intelligent
PersonX gets a job in town  xAttr  [GEN]	ambitious
PersonX finds it rather hot  xWant  [GEN]	to cool off
PersonX does not speak  xIntent  [GEN]	to avoid a conflict
PersonX learns to control her emotions  xEffect  [GEN]	is happier
PersonX never wants to hear that joke again  xEffect  [GEN]	isn’t laughed at
PersonX swims in the rain  xIntent  [GEN]	to be with nature
PersonX understands why PersonY did what she did  xAttr  [GEN]	understanding
PersonX repairs the window  xNeed  [GEN]	to be in a position to fix the window.
PersonX loses a project  xWant  [GEN]	to find a new project
PersonX believes in the freedom of choice  xReact  [GEN]	secure
PersonX has fun with PersonY's children  xReact  [GEN]	amused
PersonX remembers a time PersonY got on her nerves  xReact  [GEN]	hurt
PersonX tries to steal money  xWant  [GEN]	to be rich
PersonX wanted to be a firefighter  xEffect  [GEN]	has a job
PersonX jumps in with both feet  xWant  [GEN]	to jump again
PersonX earns a dollar an hour  HinderedBy  [GEN]	PersonX is a free agent
PersonX lives by a schedule  xIntent  [GEN]	to be on an organized schedule
PersonX gets a good mark on a test  HinderedBy  [GEN]	PersonX doesn't pass the test
PersonX just wants to share the news  xAttr  [GEN]	a good listener
PersonX hates to sleep  xIntent  [GEN]	to be free
PersonX meets a stranger on the street  xAttr  [GEN]	social
PersonX gets in touch with an old friend  xReact  [GEN]	relaxed
PersonX lives in a special place  xIntent  [GEN]	to be a special place
PersonX serves as mediator  xReact  [GEN]	respected
PersonX meets the wrong person  xEffect  [GEN]	is hurt
PersonX goes back to baking  xWant  [GEN]	to bake for everyone
PersonX likes their photo  xIntent  [GEN]	to make friends
PersonX considers a new perspective  HinderedBy  [GEN]	PersonX can't think of anything to think about
PersonX tells someone  xReact  [GEN]	trusted
PersonX learns to walk  xReact  [GEN]	athletic
PersonX puts on headphones  xWant  [GEN]	to listen to music
PersonX tosses PersonY up in the air  xIntent  [GEN]	to get PersonY punished
PersonX shares a photo with PersonY  xIntent  [GEN]	to be kind to PersonY
PersonX sells vegetables  HinderedBy  [GEN]	PersonX can't find any vegetables
PersonX is among the strongest  xNeed  [GEN]	to win a competition
PersonX does not want to sleep  xEffect  [GEN]	sleeps
PersonX refuses to volunteer to help at the hospital  xIntent  [GEN]	to be independent
PersonX makes everyone walk through PersonY's home  xIntent  [GEN]	to get back at PersonY
PersonX hits PersonY in the stomach  xAttr  [GEN]	aggressive
PersonX leads PersonY to God  xAttr  [GEN]	loyal
PersonX and PersonY chat about the old days  xEffect  [GEN]	is amused
PersonX studies hard, unlike PersonY  xIntent  [GEN]	to be a better student
PersonX meets a friend for dinner  xWant  [GEN]	to eat
PersonX follows PersonY in the park  xIntent  [GEN]	to spend time with PersonY
PersonX begins to learn to play the violin  xReact  [GEN]	proud
PersonX wraps up PersonY  xAttr  [GEN]	responsible
PersonX wants to attend the meeting  xNeed  [GEN]	to be interested in meeting Rachel
PersonX demands the truth  HinderedBy  [GEN]	PersonX is afraid to tell the truth
PersonX has been elected as a member of the Senate  xReact  [GEN]	proud
PersonX argues with the police  xAttr  [GEN]	aggressive
PersonX performs at the theatre  HinderedBy  [GEN]	PersonX can't find the theatre
PersonX sees PersonY in black clothes  HinderedBy  [GEN]	PersonX doesn't remember PersonY at all
PersonX whips up a mob  xReact  [GEN]	powerful
PersonX has a strong, loyal dog  xAttr  [GEN]	loyal
PersonX makes a quick trip  xIntent  [GEN]	to be on time
PersonX finds someone to blame  xAttr  [GEN]	decisive
PersonX is eager to start right away  xReact  [GEN]	motivated
PersonX changes language  xIntent  [GEN]	to make the country better
PersonX mentions the incident  xReact  [GEN]	sad
PersonX proves his love  HinderedBy  [GEN]	PersonX is too shy to ask someone out
