0	PersonX finds and turns on the lights  HinderedBy  [GEN]	PersonX can't find the switch	yes
1. 	PersonX stops someone from leaving  xAttr  [GEN]	strong	yes
2. 	PersonX is bent on making money  xIntent  [GEN]	to be wealthy	yes
3. 	PersonX explains a feeling  xEffect  [GEN]	is understood by others	yes
4. 	PersonX joins her employer  xReact  [GEN]	happy	yes
5. 	PersonX ends her engagement  xEffect  [GEN]	is single	yes
6. 	PersonX cancels the festival  xReact  [GEN]	disappointed	yes
7. 	PersonX loves flowers  xReact  [GEN]	loved	no
8. 	PersonX demonstrates a new golf swing  xNeed  [GEN]	to try out a new golf swing	yes
9. 	PersonX blocks his foot  xEffect  [GEN]	is a little clumsy	yes
10. 	PersonX is careless in sending a letter  xReact  [GEN]	disappointed	yes
11. 	PersonX offers a peace-making gift  HinderedBy  [GEN]	PersonX can't find a gift	yes
12. 	PersonX receives a job promotion  xNeed  [GEN]	to apply	yes
13. 	PersonX blocks PersonY's Facebook account  xIntent  [GEN]	to make PersonY angry	yes
14. 	PersonX discusses an issue with PersonY  HinderedBy  [GEN]	PersonX doesn't know how to discuss an issue with PersonY	yes
15. 	PersonX keeps in contact with PersonY  xEffect  [GEN]	is glad to see PersonY	yes
16. 	PersonX makes a play  xReact  [GEN]	victorious	yes
17. 	PersonX takes up painting  xReact  [GEN]	happy	yes
18. 	PersonX loses the argument  xReact  [GEN]	disappointed	yes
19. 	PersonX flosses teeth  xEffect  [GEN]	has better teeth	yes
20. 	PersonX touches up the living room  xReact  [GEN]	proud	no
21. 	PersonX gets in the driver's seat  xReact  [GEN]	in control	yes
22. 	PersonX follows PersonY’s every move  xIntent  [GEN]	to know what PersonY is thinking	yes
23. 	PersonX contemplates human nature  HinderedBy  [GEN]	PersonX is afraid to talk to people	yes
24. 	PersonX is saving his money  xIntent  [GEN]	to make money	yes
25. 	PersonX wants to change his way of life  xReact  [GEN]	inspired	yes
26. 	PersonX kept her promise  xReact  [GEN]	proud	yes
27. 	PersonX is a conscientious student  xIntent  [GEN]	to be a good student	yes
28. 	PersonX wishes for strength  xReact  [GEN]	strong	yes
29. 	PersonX and PersonY are punished  xAttr  [GEN]	impulsive	yes
30. 	PersonX is back in touch with PersonY  xEffect  [GEN]	is now friends with PersonY	yes
31. 	PersonX seeks an audience  xIntent  [GEN]	to be a leader	no
32. 	PersonX is one of PersonY's children  xAttr  [GEN]	popular	yes
33. 	PersonX gets a job in town  xAttr  [GEN]	intelligent	yes
34. 	PersonX finds it rather hot  xWant  [GEN]	to keep it cool	yes
35. 	PersonX does not speak  xIntent  [GEN]	to avoid conflict	yes
36. 	PersonX learns to control her emotions  xEffect  [GEN]	is happier	yes
37. 	PersonX never wants to hear that joke again  xEffect  [GEN]	is not amused	yes
38. 	PersonX swims in the rain  xIntent  [GEN]	to be healthy	no
39. 	PersonX understands why PersonY did what she did  xAttr  [GEN]	smart	yes
40. 	PersonX repairs the window  xNeed  [GEN]	to have the tools	yes
41. 	PersonX loses a project  xWant  [GEN]	to work on a new project	yes
42. 	PersonX believes in the freedom of choice  xReact  [GEN]	happy	no
43. 	PersonX has fun with PersonY's children  xReact  [GEN]	excited	yes
44. 	PersonX remembers a time PersonY got on her nerves  xReact  [GEN]	frustrated	yes
45. 	PersonX tries to steal money  xWant  [GEN]	to stop stealing	yes
46. 	PersonX wanted to be a firefighter  xEffect  [GEN]	is a firefighter	yes
47. 	PersonX jumps in with both feet  xWant  [GEN]	to get good at basketball	no
48. 	PersonX earns a dollar an hour  HinderedBy  [GEN]	PersonX doesn't have a job	yes
49. 	PersonX lives by a schedule  xIntent  [GEN]	to be prepared for any situation	yes
50. 	PersonX gets a good mark on a test  HinderedBy  [GEN]	PersonX doesn't study	yes
51. 	PersonX just wants to share the news  xAttr  [GEN]	friendly	yes
52. 	PersonX hates to sleep  xIntent  [GEN]	to get out of bed	yes
53. 	PersonX meets a stranger on the street  xAttr  [GEN]	friendly	yes
54. 	PersonX gets in touch with an old friend  xReact  [GEN]	encouraged	no
55. 	PersonX lives in a special place  xIntent  [GEN]	to have a special place in his life	yes
56. 	PersonX serves as mediator  xReact  [GEN]	helpful	yes
57. 	PersonX meets the wrong person  xEffect  [GEN]	is embarrassed	yes
58. 	PersonX goes back to baking  xWant  [GEN]	to be a baker	yes
59. 	PersonX likes their photo  xIntent  [GEN]	to remember the event	yes
60. 	PersonX considers a new perspective  HinderedBy  [GEN]	PersonX is too busy to think about a new perspective	yes
61. 	PersonX tells someone  xReact  [GEN]	happy	no
62. 	PersonX learns to walk  xReact  [GEN]	delighted	yes
63. 	PersonX puts on headphones  xWant  [GEN]	to listen to music	yes
64. 	PersonX tosses PersonY up in the air  xIntent  [GEN]	to punish PersonY	yes
65. 	PersonX shares a photo with PersonY  xIntent  [GEN]	to show PersonY his family	yes
66. 	PersonX sells vegetables  HinderedBy  [GEN]	PersonX is too busy to work	yes
67. 	PersonX is among the strongest  xNeed  [GEN]	to do well in his strength class	yes
68. 	PersonX does not want to sleep  xEffect  [GEN]	gets up early	yes
69. 	PersonX refuses to volunteer to help at the hospital  xIntent  [GEN]	to avoid responsibility	yes
70. 	PersonX makes everyone walk through PersonY's home  xIntent  [GEN]	to make everybody feel welcome	yes
71. 	PersonX hits PersonY in the stomach  xAttr  [GEN]	violent	yes
72. 	PersonX leads PersonY to God  xAttr  [GEN]	religious	yes
73. 	PersonX and PersonY chat about the old days  xEffect  [GEN]	and PersonY reminisce	yes
74. 	PersonX studies hard, unlike PersonY  xIntent  [GEN]	to be better than PersonY	yes
75. 	PersonX meets a friend for dinner  xWant  [GEN]	to eat out	no
76. 	PersonX follows PersonY in the park  xIntent  [GEN]	to be close to PersonY	yes
77. 	PersonX begins to learn to play the violin  xReact  [GEN]	curious	no
78. 	PersonX wraps up PersonY  xAttr  [GEN]	strong	yes
79. 	PersonX wants to attend the meeting  xNeed  [GEN]	to be interested in the meeting	yes
80. 	PersonX demands the truth  HinderedBy  [GEN]	PersonX is afraid to speak the truth	yes
81. 	PersonX has been elected as a member of the Senate  xReact  [GEN]	pleased	yes
82. 	PersonX argues with the police  xAttr  [GEN]	aggressive	yes
83. 	PersonX performs at the theatre  HinderedBy  [GEN]	PersonX is sick	yes
84. 	PersonX sees PersonY in black clothes  HinderedBy  [GEN]	PersonX doesn't know PersonY is in black clothes	no
85. 	PersonX whips up a mob  xReact  [GEN]	powerful	no
86. 	PersonX has a strong, loyal dog  xAttr  [GEN]	a dog lover	yes
87. 	PersonX makes a quick trip  xIntent  [GEN]	to see the sights	yes
88. 	PersonX finds someone to blame  xAttr  [GEN]	smart	yes
89. 	PersonX is eager to start right away  xReact  [GEN]	eager	yes
90. 	PersonX changes language  xIntent  [GEN]	to be more fluent	yes
91. 	PersonX mentions the incident  xReact  [GEN]	disappointed	yes
92. 	PersonX proves his love  HinderedBy  [GEN]	PersonX is too shy to say it	yes
93. 	PersonX works in the area  xIntent  [GEN]	to be a part of the community	no
94. 	PersonX commits to a cause  xAttr  [GEN]	committed	yes
95. 	PersonX wants something  xEffect  [GEN]	gets it	yes
96. 	PersonX buys a new camera  xEffect  [GEN]	takes pictures	yes
97. 	PersonX writes a newsletter  xAttr  [GEN]	knowledgeable	yes
98. 	PersonX is fashionable  HinderedBy  [GEN]	PersonX can't find any fashionable clothing	yes
99. 	PersonX succeeds in stopping smoking  xAttr  [GEN]	a leader	no
100. 	"PersonX is voted ""Most Likely to Succeed""  xEffect  [GEN]"	is confident	yes
101. 	PersonX tries to be strong  HinderedBy  [GEN]	PersonX is too tired to exercise	yes
102. 	PersonX sways PersonY  xReact  [GEN]	confident	no
103. 	PersonX keeps on trying  HinderedBy  [GEN]	PersonX is not strong enough to try	yes
104. 	PersonX heads to a restaurant  xIntent  [GEN]	to eat a meal	yes
105. 	PersonX is elected to parliament  xReact  [GEN]	proud	yes
106. 	PersonX helps PersonY realize  xReact  [GEN]	happy	yes
107. 	PersonX arrives early  xIntent  [GEN]	to be on time	yes
108. 	PersonX says something optimistic  HinderedBy  [GEN]	PersonX is depressed	yes
109. 	PersonX gets kicked out of the bathroom  xReact  [GEN]	angry	yes
110. 	PersonX laughs happily  xEffect  [GEN]	is happy	yes
111. 	PersonX is on the verge of giving up  xAttr  [GEN]	depressed	yes
112. 	PersonX moves into a van  xAttr  [GEN]	adventurous	yes
113. 	PersonX makes noise with music  xEffect  [GEN]	is criticized by teacher	yes
114. 	PersonX folds a sheet of paper  xIntent  [GEN]	to do his homework	no
115. 	PersonX starts to read the paper  xReact  [GEN]	interested	yes
116. 	PersonX looses his reputation  xEffect  [GEN]	is ridiculed	yes
117. 	PersonX exchanges the dress  xEffect  [GEN]	is pleased with the dress	yes
118. 	PersonX gets lost in PersonY’s words  xWant  [GEN]	to be more like PersonY	no
119. 	PersonX tries to entice PersonY  xAttr  [GEN]	flirtatious	yes
120. 	PersonX makes a plan to be friendly  xAttr  [GEN]	friendly	yes
121. 	PersonX mows the lawn  xReact  [GEN]	productive	yes
122. 	PersonX made a radical move  HinderedBy  [GEN]	PersonX can't find the courage to do it	yes
123. 	PersonX takes care of people’s needs  xAttr  [GEN]	compassionate	yes
124. 	PersonX confirms what was seen  xIntent  [GEN]	to be certain	yes
125. 	PersonX is a dedicated student  HinderedBy  [GEN]	PersonX is lazy in school	yes
126. 	PersonX tries to find out who stole the money  xWant  [GEN]	to find out who stole the money	yes
127. 	PersonX wants to be accepted  xIntent  [GEN]	to be more popular	yes
128. 	PersonX gets in the way of the police  xAttr  [GEN]	irresponsible	yes
129. 	PersonX gains a competitive edge  xAttr  [GEN]	a hard worker	yes
130. 	PersonX attempts to pacify  xIntent  [GEN]	to make peace	yes
131. 	PersonX is invited by PersonY to visit  xEffect  [GEN]	visits PersonY	yes
132. 	PersonX finds the wrong door  xReact  [GEN]	frustrated	yes
133. 	PersonX takes an advanced course  xReact  [GEN]	smart	yes
134. 	PersonX follows his own instincts  xIntent  [GEN]	to make the right decision	yes
135. 	PersonX plans to seduce PersonY  xEffect  [GEN]	seduces PersonY	yes
136. 	PersonX speaks too quickly  xAttr  [GEN]	impatient	yes
137. 	PersonX begins to understand herself  HinderedBy  [GEN]	PersonX is still too embarrassed to admit that she is asexual	yes
138. 	PersonX carries on a dialog  xWant  [GEN]	to be good	no
139. 	PersonX gets the kiss  xIntent  [GEN]	to kiss Kate	yes
140. 	PersonX has to save PersonY  xAttr  [GEN]	heroic	yes
