PersonX announces the result  xWant  [GEN]	to complete the project
PersonX takes a diploma  HinderedBy  [GEN]	PersonX can't find a good teacher
PersonX is ranting  xEffect  [GEN]	is shunned
PersonX is practicing  xEffect  [GEN]	is an expert
PersonX is the best person for the job  xIntent  [GEN]	to be a leader
PersonX visits a new town  xReact  [GEN]	amazed
PersonX organizes others to work  HinderedBy  [GEN]	PersonX is afraid of people
PersonX informs PersonY about her surprise  xAttr  [GEN]	reliable
PersonX doesn't kill anyone  xEffect  [GEN]	doesn't kill anyone
PersonX seems to hear PersonY  xIntent  [GEN]	to know why PersonY is alive
PersonX can't help telling  xEffect  [GEN]	is frustrated
PersonX wears a suit  xAttr  [GEN]	stylish
PersonX thinks PersonY's idea is brilliant  xReact  [GEN]	impressed
PersonX bares PersonY's heart  HinderedBy  [GEN]	PersonX doesn't know how to fight
PersonX throws down PersonY's gauntlet  xEffect  [GEN]	gets a cut
PersonX gives up and goes away  xIntent  [GEN]	to forget about his decision
PersonX weighs it all  xAttr  [GEN]	intelligent
PersonX does a huge favor for PersonY  xEffect  [GEN]	feels appreciated
PersonX holds PersonY's baby  HinderedBy  [GEN]	PersonX is too shy to hold babies
PersonX is tested for the job  xEffect  [GEN]	gets fired
PersonX provides for a rainy day  xAttr  [GEN]	thoughtful
PersonX eats lots of candy  xIntent  [GEN]	to have more candy
PersonX gives out advice  xEffect  [GEN]	is praised by his friends
PersonX puts in a lot of time  HinderedBy  [GEN]	PersonX is afraid to sit down
PersonX claims to have forgiven PersonY  xIntent  [GEN]	to be a good friend
PersonX moves a towel out of the way  HinderedBy  [GEN]	PersonX can't see the towel
PersonX cuts off PersonY's finger  xIntent  [GEN]	to punish PersonY
PersonX digs deep  xNeed  [GEN]	to think about what happened
PersonX moves to China  xIntent  [GEN]	to be closer to his family
PersonX makes a fuss about PersonY  xNeed  [GEN]	to be upset with PersonY
PersonX wins a grand prize  xAttr  [GEN]	brave
PersonX makes shoes  HinderedBy  [GEN]	PersonX is not making shoes
PersonX is considered the blame  xReact  [GEN]	frustrated
PersonX slips on the floor  xEffect  [GEN]	is injured
PersonX sees Fred  xEffect  [GEN]	is jealous
PersonX is crafty  xWant  [GEN]	to be a good kid
PersonX starts over  xAttr  [GEN]	a leader
PersonX fixes the problem  xWant  [GEN]	's advice
PersonX pulls PersonY back  xReact  [GEN]	relieved
PersonX doesn't understand what it means  xAttr  [GEN]	naive
PersonX borrows a toy  xReact  [GEN]	clever
PersonX and PersonY form a mutual contract  xEffect  [GEN]	and PersonY become friends
PersonX befriends a baby  xIntent  [GEN]	to impress the baby
PersonX reads a text  xWant  [GEN]	to be more open to the communication
PersonX brings back water  xEffect  [GEN]	has a healthy drink
PersonX has a friend over for dinner  HinderedBy  [GEN]	PersonX doesn't have any friends
PersonX gets a car  xEffect  [GEN]	is happy
PersonX visits a sick friend  xIntent  [GEN]	to help others
PersonX writes a beautiful poem  HinderedBy  [GEN]	PersonX is allergic to writing
PersonX writes the blog post  xIntent  [GEN]	to draw a page
PersonX has been considered PersonY's best friend  xIntent  [GEN]	to be praised by himself
PersonX learns a new job  xAttr  [GEN]	intelligent
PersonX considers the other person’s needs  xIntent  [GEN]	to be helpful
PersonX severs relations with PersonY  xReact  [GEN]	annoyed
