PersonX finds and turns on the lights  HinderedBy  [GEN]	PersonX can't find the switch
PersonX stops someone from leaving  xAttr  [GEN]	strong
PersonX is bent on making money  xIntent  [GEN]	to be wealthy
PersonX explains a feeling  xEffect  [GEN]	is understood by his friend
PersonX joins her employer  xReact  [GEN]	respected
PersonX ends her engagement  xEffect  [GEN]	is sad
PersonX cancels the festival  xReact  [GEN]	disappointed
PersonX loves flowers  xReact  [GEN]	joyful
PersonX demonstrates a new golf swing  xNeed  [GEN]	to have the swing on
PersonX blocks his foot  xEffect  [GEN]	is told to wear a boot
PersonX is careless in sending a letter  xReact  [GEN]	ashamed
PersonX offers a peace-making gift  HinderedBy  [GEN]	PersonX is too busy
PersonX receives a job promotion  xNeed  [GEN]	to apply
PersonX blocks PersonY's Facebook account  xIntent  [GEN]	to control PersonY
PersonX discusses an issue with PersonY  HinderedBy  [GEN]	PersonX is too shy to discuss an issue with PersonY
PersonX keeps in contact with PersonY  xEffect  [GEN]	and PersonY become friends
PersonX makes a play  xReact  [GEN]	powerful
PersonX takes up painting  xReact  [GEN]	motivated
PersonX loses the argument  xReact  [GEN]	guilty
PersonX flosses teeth  xEffect  [GEN]	gets better teeth
PersonX touches up the living room  xReact  [GEN]	accomplished
PersonX gets in the driver's seat  xReact  [GEN]	secure
PersonX follows PersonY’s every move  xIntent  [GEN]	to be a part of PersonY’s life.
PersonX contemplates human nature  HinderedBy  [GEN]	PersonX is too lazy to think about human nature
PersonX is saving his money  xIntent  [GEN]	to save money
PersonX wants to change his way of life  xReact  [GEN]	determined
PersonX kept her promise  xReact  [GEN]	good
PersonX is a conscientious student  xIntent  [GEN]	to be a good student
PersonX wishes for strength  xReact  [GEN]	courageous
PersonX and PersonY are punished  xAttr  [GEN]	mean
PersonX is back in touch with PersonY  xEffect  [GEN]	and PersonY talk
PersonX seeks an audience  xIntent  [GEN]	to be a leader
PersonX is one of PersonY's children  xAttr  [GEN]	popular
PersonX gets a job in town  xAttr  [GEN]	intelligent
PersonX finds it rather hot  xWant  [GEN]	to be cold
PersonX does not speak  xIntent  [GEN]	to protect his privacy
PersonX learns to control her emotions  xEffect  [GEN]	gains patience
PersonX never wants to hear that joke again  xEffect  [GEN]	stops playing the joke
PersonX swims in the rain  xIntent  [GEN]	to stay dry
PersonX understands why PersonY did what she did  xAttr  [GEN]	wise
PersonX repairs the window  xNeed  [GEN]	to have a spare part
PersonX loses a project  xWant  [GEN]	to get it back
PersonX believes in the freedom of choice  xReact  [GEN]	happy
PersonX has fun with PersonY's children  xReact  [GEN]	excited
PersonX remembers a time PersonY got on her nerves  xReact  [GEN]	frustrated
PersonX tries to steal money  xWant  [GEN]	to stop stealing
PersonX wanted to be a firefighter  xEffect  [GEN]	is a firefighter
PersonX jumps in with both feet  xWant  [GEN]	to get good grades
PersonX earns a dollar an hour  HinderedBy  [GEN]	PersonX gets paid for three hours of work
PersonX lives by a schedule  xIntent  [GEN]	to be punctual
PersonX gets a good mark on a test  HinderedBy  [GEN]	PersonX has a bad test score
PersonX just wants to share the news  xAttr  [GEN]	a good friend
PersonX hates to sleep  xIntent  [GEN]	to get a lot of sleep
PersonX meets a stranger on the street  xAttr  [GEN]	sociable
PersonX gets in touch with an old friend  xReact  [GEN]	relieved
PersonX lives in a special place  xIntent  [GEN]	to be alone
PersonX serves as mediator  xReact  [GEN]	helpful
PersonX meets the wrong person  xEffect  [GEN]	is embarrassed
PersonX goes back to baking  xWant  [GEN]	to be a baker
PersonX likes their photo  xIntent  [GEN]	to remember the event
PersonX considers a new perspective  HinderedBy  [GEN]	PersonX is unable to change her mind
PersonX tells someone  xReact  [GEN]	angry
PersonX learns to walk  xReact  [GEN]	happy
PersonX puts on headphones  xWant  [GEN]	to go to sleep
PersonX tosses PersonY up in the air  xIntent  [GEN]	to make PersonY feel good
PersonX shares a photo with PersonY  xIntent  [GEN]	to show PersonY how she feels
PersonX sells vegetables  HinderedBy  [GEN]	PersonX is too busy to work
PersonX is among the strongest  xNeed  [GEN]	to have been training
PersonX does not want to sleep  xEffect  [GEN]	has trouble sleeping
PersonX refuses to volunteer to help at the hospital  xIntent  [GEN]	to be independent
PersonX makes everyone walk through PersonY's home  xIntent  [GEN]	to make PersonY feel welcome
PersonX hits PersonY in the stomach  xAttr  [GEN]	mean
PersonX leads PersonY to God  xAttr  [GEN]	persuasive
PersonX and PersonY chat about the old days  xEffect  [GEN]	and PersonY are friends again
PersonX studies hard, unlike PersonY  xIntent  [GEN]	to be better than PersonY
PersonX meets a friend for dinner  xWant  [GEN]	to hang out with his friend
PersonX follows PersonY in the park  xIntent  [GEN]	to be a good friend
PersonX begins to learn to play the violin  xReact  [GEN]	excited
PersonX wraps up PersonY  xAttr  [GEN]	a good friend
PersonX wants to attend the meeting  xNeed  [GEN]	to have a desire to attend the meeting
PersonX demands the truth  HinderedBy  [GEN]	PersonX is too afraid to ask
PersonX has been elected as a member of the Senate  xReact  [GEN]	proud
PersonX argues with the police  xAttr  [GEN]	mean
PersonX performs at the theatre  HinderedBy  [GEN]	PersonX is sick
PersonX sees PersonY in black clothes  HinderedBy  [GEN]	PersonX can't see anything
PersonX whips up a mob  xReact  [GEN]	powerful
PersonX has a strong, loyal dog  xAttr  [GEN]	a dog lover
PersonX makes a quick trip  xIntent  [GEN]	to be ready for a new task
PersonX finds someone to blame  xAttr  [GEN]	vindictive
PersonX is eager to start right away  xReact  [GEN]	confident
PersonX changes language  xIntent  [GEN]	to be on a new team
PersonX mentions the incident  xReact  [GEN]	upset
