PersonX announces the result  xWant  [GEN]	to be proud of the result	1
PersonX takes a diploma  HinderedBy  [GEN]	PersonX can't pass the coursework	1
PersonX is ranting  xEffect  [GEN]	becomes a little angry	1
PersonX is practicing  xEffect  [GEN]	is better at his piano	1
PersonX is the best person for the job  xIntent  [GEN]	to be successful	1
PersonX visits a new town  xReact  [GEN]	friendly	1
PersonX organizes others to work  HinderedBy  [GEN]	PersonX is lazy	1
PersonX informs PersonY about her surprise  xAttr  [GEN]	wise	1
PersonX doesn't kill anyone  xEffect  [GEN]	has a safe life	1
PersonX seems to hear PersonY  xIntent  [GEN]	to hear PersonY's voice	1
PersonX can't help telling  xEffect  [GEN]	is very upset	1
PersonX wears a suit  xAttr  [GEN]	fashionable	1
PersonX thinks PersonY's idea is brilliant  xReact  [GEN]	confident	1
PersonX bares PersonY's heart  HinderedBy  [GEN]	PersonX is not loyal to PersonY	1
PersonX throws down PersonY's gauntlet  xEffect  [GEN]	is scolded by PersonY	1
PersonX gives up and goes away  xIntent  [GEN]	to be free	1
PersonX weighs it all  xAttr  [GEN]	intelligent	2
PersonX does a huge favor for PersonY  xEffect  [GEN]	is thanked by PersonY	1
PersonX holds PersonY's baby  HinderedBy  [GEN]	PersonX doesn't have a baby	2
PersonX is tested for the job  xEffect  [GEN]	is hired	1
PersonX provides for a rainy day  xAttr  [GEN]	reliable	1
PersonX eats lots of candy  xIntent  [GEN]	to be a good person	2
PersonX gives out advice  xEffect  [GEN]	is liked	1
PersonX puts in a lot of time  HinderedBy  [GEN]	PersonX is sick	1
PersonX claims to have forgiven PersonY  xIntent  [GEN]	to be remembered	1
PersonX moves a towel out of the way  HinderedBy  [GEN]	PersonX can't find the towel	1
PersonX cuts off PersonY's finger  xIntent  [GEN]	to punish PersonY	1
PersonX digs deep  xNeed  [GEN]	to be digging deep	1
PersonX moves to China  xIntent  [GEN]	to be closer to his family	1
PersonX makes a fuss about PersonY  xNeed  [GEN]	to be annoyed by PersonY	1
PersonX wins a grand prize  xAttr  [GEN]	smart	1
PersonX makes shoes  HinderedBy  [GEN]	PersonX can't find any tools	1
PersonX is considered the blame  xReact  [GEN]	guilty	1
PersonX slips on the floor  xEffect  [GEN]	has a sore back	1
PersonX sees Fred  xEffect  [GEN]	's view of Fred is altered	1
PersonX is crafty  xWant  [GEN]	to be a tool	2
PersonX starts over  xAttr  [GEN]	ambitious	1
PersonX fixes the problem  xWant  [GEN]	to fix the problem	2
PersonX pulls PersonY back  xReact  [GEN]	relieved	1
