Alice finds and turns on the lights  HinderedBy  [GEN]	Alice can't find the switch
Alice stops someone from leaving  xAttr  [GEN]	considerate
Alice is bent on making money  xIntent  [GEN]	to be financially independent
Alice explains a feeling  xEffect  [GEN]	feels better
Alice joins her employer  xReact  [GEN]	pleased
Alice ends her engagement  xEffect  [GEN]	is unhappy
Alice cancels the festival  xReact  [GEN]	upset
Alice loves flowers  xReact  [GEN]	full
Alice demonstrates a new golf swing  xNeed  [GEN]	to be in shape
Alice blocks his foot  xEffect  [GEN]	is paralyzed
Alice is careless in sending a letter  xReact  [GEN]	frustrated
Alice offers a peace-making gift  HinderedBy  [GEN]	Alice is too busy to give a present
Alice receives a job promotion  xNeed  [GEN]	to apply for the job
Alice blocks Bob's Facebook account  xIntent  [GEN]	to help Bob
Alice discusses an issue with Bob  HinderedBy  [GEN]	Alice is unable to talk about the issue
Alice keeps in contact with Bob  xEffect  [GEN]	gets along with Bob better
Alice makes a play  xReact  [GEN]	joyful
Alice takes up painting  xReact  [GEN]	happy
Alice loses the argument  xReact  [GEN]	upset
Alice flosses teeth  xEffect  [GEN]	is healthy
Alice touches up the living room  xReact  [GEN]	pleased
Alice gets in the driver's seat  xReact  [GEN]	relieved
Alice follows Bob’s every move  xIntent  [GEN]	to be sure Bob is doing his homework
Alice contemplates human nature  HinderedBy  [GEN]	Alice can't think of anything to do
Alice is saving his money  xIntent  [GEN]	to save money
Alice wants to change his way of life  xReact  [GEN]	passionate
Alice kept her promise  xReact  [GEN]	confident
Alice is a conscientious student  xIntent  [GEN]	to make a good impression
Alice wishes for strength  xReact  [GEN]	motivated
Alice and Bob are punished  xAttr  [GEN]	disobedient
Alice is back in touch with Bob  xEffect  [GEN]	is happy
Alice seeks an audience  xIntent  [GEN]	to be recognized
Alice is one of Bob's children  xAttr  [GEN]	a good father
Alice gets a job in town  xAttr  [GEN]	competent
Alice finds it rather hot  xWant  [GEN]	to cool off
Alice does not speak  xIntent  [GEN]	to be left alone
Alice learns to control her emotions  xEffect  [GEN]	becomes more friendly
Alice never wants to hear that joke again  xEffect  [GEN]	laughs
