PersonX finds and turns on the lights  HinderedBy  [GEN]	PersonX is blind
PersonX stops someone from leaving  xAttr  [GEN]	stubborn
PersonX is bent on making money  xIntent  [GEN]	to be successful
PersonX explains a feeling  xEffect  [GEN]	is understood
PersonX joins her employer  xReact  [GEN]	successful
PersonX ends her engagement  xEffect  [GEN]	is single
PersonX cancels the festival  xReact  [GEN]	disappointed
PersonX loves flowers  xReact  [GEN]	delighted
PersonX demonstrates a new golf swing  xNeed  [GEN]	to practice
PersonX blocks his foot  xEffect  [GEN]	has a sore foot
PersonX is careless in sending a letter  xReact  [GEN]	frustrated
PersonX offers a peace-making gift  HinderedBy  [GEN]	PersonX can't find a gift
PersonX receives a job promotion  xNeed  [GEN]	to apply for the job
PersonX blocks PersonY's Facebook account  xIntent  [GEN]	to be able to control PersonY
PersonX discusses an issue with PersonY  HinderedBy  [GEN]	PersonX is afraid to discuss an issue with PersonY
PersonX keeps in contact with PersonY  xEffect  [GEN]	is not alone
PersonX makes a play  xReact  [GEN]	inspired
PersonX takes up painting  xReact  [GEN]	fulfilled
PersonX loses the argument  xReact  [GEN]	sad
PersonX flosses teeth  xEffect  [GEN]	has a healthy mouth
PersonX touches up the living room  xReact  [GEN]	happy
PersonX gets in the driver's seat  xReact  [GEN]	proud
PersonX follows PersonY’s every move  xIntent  [GEN]	to be close to PersonY
PersonX contemplates human nature  HinderedBy  [GEN]	PersonX is too busy to think about it
PersonX is saving his money  xIntent  [GEN]	to have money for the future
PersonX wants to change his way of life  xReact  [GEN]	determined
PersonX kept her promise  xReact  [GEN]	good
PersonX is a conscientious student  xIntent  [GEN]	to do well in school
PersonX wishes for strength  xReact  [GEN]	determined
PersonX and PersonY are punished  xAttr  [GEN]	mean
PersonX is back in touch with PersonY  xEffect  [GEN]	is happier
PersonX seeks an audience  xIntent  [GEN]	to have a conversation with someone
PersonX is one of PersonY's children  xAttr  [GEN]	like PersonY
PersonX gets a job in town  xAttr  [GEN]	industrious
PersonX finds it rather hot  xWant  [GEN]	to take off his shirt
PersonX does not speak  xIntent  [GEN]	to be quiet
PersonX learns to control her emotions  xEffect  [GEN]	feels more confident
PersonX never wants to hear that joke again  xEffect  [GEN]	is offended
PersonX swims in the rain  xIntent  [GEN]	to feel the rain
PersonX understands why PersonY did what she did  xAttr  [GEN]	smart
PersonX repairs the window  xNeed  [GEN]	to have a tool
PersonX loses a project  xWant  [GEN]	to get it back
PersonX believes in the freedom of choice  xReact  [GEN]	free
PersonX has fun with PersonY's children  xReact  [GEN]	satisfied
PersonX remembers a time PersonY got on her nerves  xReact  [GEN]	irritated
PersonX tries to steal money  xWant  [GEN]	to be a thief
PersonX wanted to be a firefighter  xEffect  [GEN]	became a firefighter
PersonX jumps in with both feet  xWant  [GEN]	to learn more about the subject
PersonX earns a dollar an hour  HinderedBy  [GEN]	PersonX doesn't have a job
PersonX lives by a schedule  xIntent  [GEN]	to be prepared for any situation
PersonX gets a good mark on a test  HinderedBy  [GEN]	PersonX can't concentrate
PersonX just wants to share the news  xAttr  [GEN]	friendly
PersonX hates to sleep  xIntent  [GEN]	to be awake
PersonX meets a stranger on the street  xAttr  [GEN]	friendly
PersonX gets in touch with an old friend  xReact  [GEN]	inspired
PersonX lives in a special place  xIntent  [GEN]	to be alone
PersonX serves as mediator  xReact  [GEN]	happy
PersonX meets the wrong person  xEffect  [GEN]	is upset
PersonX goes back to baking  xWant  [GEN]	to make bread
PersonX likes their photo  xIntent  [GEN]	to remember the day
PersonX considers a new perspective  HinderedBy  [GEN]	PersonX is too tired to think
PersonX tells someone  xReact  [GEN]	confident
PersonX learns to walk  xReact  [GEN]	happy
PersonX puts on headphones  xWant  [GEN]	to hear music
PersonX tosses PersonY up in the air  xIntent  [GEN]	to play with PersonY
PersonX shares a photo with PersonY  xIntent  [GEN]	to be accepted by PersonY
PersonX sells vegetables  HinderedBy  [GEN]	PersonX can't find any produce
PersonX is among the strongest  xNeed  [GEN]	to have a power
PersonX does not want to sleep  xEffect  [GEN]	gets up early
PersonX refuses to volunteer to help at the hospital  xIntent  [GEN]	to be independent
PersonX makes everyone walk through PersonY's home  xIntent  [GEN]	to make PersonY's home a museum
PersonX hits PersonY in the stomach  xAttr  [GEN]	aggressive
PersonX leads PersonY to God  xAttr  [GEN]	spiritual
PersonX and PersonY chat about the old days  xEffect  [GEN]	is happy
PersonX studies hard, unlike PersonY  xIntent  [GEN]	to be smarter than PersonY
PersonX meets a friend for dinner  xWant  [GEN]	to eat out
PersonX follows PersonY in the park  xIntent  [GEN]	to be with PersonY
PersonX begins to learn to play the violin  xReact  [GEN]	happy
PersonX wraps up PersonY  xAttr  [GEN]	organized
PersonX wants to attend the meeting  xNeed  [GEN]	to be interested in the meeting
PersonX demands the truth  HinderedBy  [GEN]	PersonX is afraid to tell the truth
PersonX has been elected as a member of the Senate  xReact  [GEN]	honored
PersonX argues with the police  xAttr  [GEN]	rude
PersonX performs at the theatre  HinderedBy  [GEN]	PersonX is too nervous to perform
PersonX sees PersonY in black clothes  HinderedBy  [GEN]	PersonX is not allowed to see PersonY
PersonX whips up a mob  xReact  [GEN]	powerful
PersonX has a strong, loyal dog  xAttr  [GEN]	a good owner
PersonX makes a quick trip  xIntent  [GEN]	to see his family
PersonX finds someone to blame  xAttr  [GEN]	angry
PersonX is eager to start right away  xReact  [GEN]	ready
PersonX changes language  xIntent  [GEN]	to be able to communicate with others
PersonX mentions the incident  xReact  [GEN]	upset
PersonX proves his love  HinderedBy  [GEN]	PersonX is too shy to tell his girlfriend
PersonX works in the area  xIntent  [GEN]	to make money
PersonX commits to a cause  xAttr  [GEN]	compassionate
PersonX wants something  xEffect  [GEN]	gets it
PersonX buys a new camera  xEffect  [GEN]	takes more pictures
PersonX writes a newsletter  xAttr  [GEN]	creative
PersonX is fashionable  HinderedBy  [GEN]	PersonX can't find any clothes
PersonX succeeds in stopping smoking  xAttr  [GEN]	courageous
"PersonX is voted ""Most Likely to Succeed""  xEffect  [GEN]"	is praised by his peers
PersonX tries to be strong  HinderedBy  [GEN]	PersonX can't stop crying
PersonX sways PersonY  xReact  [GEN]	happy
PersonX keeps on trying  HinderedBy  [GEN]	PersonX can't find the courage to do it
PersonX heads to a restaurant  xIntent  [GEN]	to meet friends
PersonX is elected to parliament  xReact  [GEN]	confident
PersonX helps PersonY realize  xReact  [GEN]	helpful
PersonX arrives early  xIntent  [GEN]	to be on time
PersonX says something optimistic  HinderedBy  [GEN]	PersonX is sad
PersonX gets kicked out of the bathroom  xReact  [GEN]	upset
PersonX laughs happily  xEffect  [GEN]	has a good day
PersonX is on the verge of giving up  xAttr  [GEN]	weak
PersonX moves into a van  xAttr  [GEN]	resourceful
PersonX makes noise with music  xEffect  [GEN]	annoys his neighbors
PersonX folds a sheet of paper  xIntent  [GEN]	to be neat
PersonX starts to read the paper  xReact  [GEN]	distracted
PersonX looses his reputation  xEffect  [GEN]	is shunned by his friends
PersonX exchanges the dress  xEffect  [GEN]	gets a better dress
PersonX gets lost in PersonY’s words  xWant  [GEN]	to find his way home
PersonX tries to entice PersonY  xAttr  [GEN]	manipulative
PersonX makes a plan to be friendly  xAttr  [GEN]	considerate
PersonX mows the lawn  xReact  [GEN]	satisfied
PersonX made a radical move  HinderedBy  [GEN]	PersonX is scared to make a radical move
PersonX takes care of people’s needs  xAttr  [GEN]	considerate
PersonX confirms what was seen  xIntent  [GEN]	to be sure
PersonX is a dedicated student  HinderedBy  [GEN]	PersonX can't find his homework
PersonX tries to find out who stole the money  xWant  [GEN]	to get the money back
PersonX wants to be accepted  xIntent  [GEN]	to be accepted by his peers
PersonX gets in the way of the police  xAttr  [GEN]	rebellious
PersonX gains a competitive edge  xAttr  [GEN]	smart
PersonX attempts to pacify  xIntent  [GEN]	to be accepted
PersonX is invited by PersonY to visit  xEffect  [GEN]	visits PersonY
