PersonX announces the result  xWant  [GEN]	to celebrate
PersonX takes a diploma  HinderedBy  [GEN]	PersonX can't find a job
PersonX is ranting  xEffect  [GEN]	is angry
PersonX is practicing  xEffect  [GEN]	is good at playing the piano
PersonX is the best person for the job  xIntent  [GEN]	to be the
PersonX visits a new town  xReact  [GEN]	happy
PersonX organizes others to work  HinderedBy  [GEN]	PersonX is too busy
PersonX informs PersonY about her surprise  xAttr  [GEN]	a good friend
PersonX doesn't kill anyone  xEffect  [GEN]	is safe
PersonX seems to hear PersonY  xIntent  [GEN]	to be close to Person
PersonX can't help telling  xEffect  [GEN]	is embarrassed
PersonX wears a suit  xAttr  [GEN]	stylish
PersonX thinks PersonY's idea is brilliant  xReact  [GEN]	pleased
PersonX bares PersonY's heart  HinderedBy  [GEN]	PersonX is too
PersonX throws down PersonY's gauntlet  xEffect  [GEN]	is punished
PersonX gives up and goes away  xIntent  [GEN]	to be free
PersonX weighs it all  xAttr  [GEN]	smart
PersonX does a huge favor for PersonY  xEffect  [GEN]	is thanked by Person
PersonX holds PersonY's baby  HinderedBy  [GEN]	PersonX is afraid to
PersonX is tested for the job  xEffect  [GEN]	is hired
PersonX provides for a rainy day  xAttr  [GEN]	responsible
PersonX eats lots of candy  xIntent  [GEN]	to have a snack
PersonX gives out advice  xEffect  [GEN]	is thanked by his friends
PersonX puts in a lot of time  HinderedBy  [GEN]	PersonX is sick
PersonX claims to have forgiven PersonY  xIntent  [GEN]	to be forgiven
PersonX moves a towel out of the way  HinderedBy  [GEN]	PersonX is
PersonX cuts off PersonY's finger  xIntent  [GEN]	to punish PersonY
PersonX digs deep  xNeed  [GEN]	to be interested in digging
PersonX moves to China  xIntent  [GEN]	to be independent
PersonX makes a fuss about PersonY  xNeed  [GEN]	to be upset
PersonX wins a grand prize  xAttr  [GEN]	lucky
PersonX makes shoes  HinderedBy  [GEN]	PersonX can't find any shoes
PersonX is considered the blame  xReact  [GEN]	guilty
PersonX slips on the floor  xEffect  [GEN]	is injured
PersonX sees Fred  xEffect  [GEN]	is surprised
PersonX is crafty  xWant  [GEN]	to be a professional
PersonX starts over  xAttr  [GEN]	ambitious
PersonX fixes the problem  xWant  [GEN]	to fix the problem
PersonX pulls PersonY back  xReact  [GEN]	happy
PersonX doesn't understand what it means  xAttr  [GEN]	dumb
PersonX borrows a toy  xReact  [GEN]	happy
PersonX and PersonY form a mutual contract  xEffect  [GEN]	and PersonY are
PersonX befriends a baby  xIntent  [GEN]	to be a good friend
PersonX reads a text  xWant  [GEN]	to know what it says
PersonX brings back water  xEffect  [GEN]	gets wet
PersonX has a friend over for dinner  HinderedBy  [GEN]	PersonX is too
PersonX gets a car  xEffect  [GEN]	is happy
PersonX visits a sick friend  xIntent  [GEN]	to help someone
PersonX writes a beautiful poem  HinderedBy  [GEN]	PersonX can't find a
PersonX writes the blog post  xIntent  [GEN]	to be remembered
PersonX has been considered PersonY's best friend  xIntent  [GEN]	to be
PersonX learns a new job  xAttr  [GEN]	smart
PersonX considers the other person’s needs  xIntent  [GEN]	to be
PersonX severs relations with PersonY  xReact  [GEN]	upset
PersonX learns of a storm  HinderedBy  [GEN]	PersonX is too busy to
PersonX is a big fan of ice hockey  HinderedBy  [GEN]	PersonX is
PersonX throws down PersonY's gauntlet  HinderedBy  [GEN]	PersonX is
PersonX works out at the gym  xAttr  [GEN]	athletic
PersonX writes notes  HinderedBy  [GEN]	PersonX is too tired to write
PersonX has never had a Christmas like this  xEffect  [GEN]	is upset
PersonX sees PersonY’s future  xNeed  [GEN]	to be interested in
PersonX and PersonY form a mutual contract  xNeed  [GEN]	to be in a
PersonX waits for PersonY to come back  xIntent  [GEN]	to be with
PersonX wants to give up smoking  HinderedBy  [GEN]	PersonX is afraid of
PersonX bares PersonY's heart  xWant  [GEN]	to be PersonY's
PersonX stomps his feet  xIntent  [GEN]	to be more careful
PersonX promises it will be a success  HinderedBy  [GEN]	PersonX is too
PersonX organizes others to work  xIntent  [GEN]	to be a leader
PersonX visits the elderly  xEffect  [GEN]	is treated for his condition
PersonX becomes friendlier  HinderedBy  [GEN]	PersonX is still angry at her
PersonX explains the puzzle  xReact  [GEN]	excited
PersonX disappears for a few minutes  xIntent  [GEN]	to be alone
PersonX can't hold back  xIntent  [GEN]	to be a leader
PersonX helps PersonY do homework  HinderedBy  [GEN]	PersonX is too busy
PersonX is too drunk to walk  xAttr  [GEN]	irresponsible
PersonX makes it to the first five  HinderedBy  [GEN]	PersonX is sick
PersonX promises it will be a success  xIntent  [GEN]	to be successful
PersonX asks PersonY to help out  xEffect  [GEN]	is thanked by PersonY
PersonX stops for a haircut  xReact  [GEN]	relaxed
PersonX can't hold back  HinderedBy  [GEN]	PersonX can't hold back
PersonX listens to The Beatles  xAttr  [GEN]	a fan of the band
PersonX finds PersonY's jacket  xEffect  [GEN]	is happy
PersonX continues to offer PersonY resistance  xNeed  [GEN]	to be willing to do
PersonX studies different opinions  xNeed  [GEN]	to have a different opinion
PersonX meets a person in church  xNeed  [GEN]	to be in a church
PersonX gets on the bus with PersonY  xIntent  [GEN]	to be with
PersonX grows grass  HinderedBy  [GEN]	PersonX can't find any seeds
