PersonX finds and turns on the lights  HinderedBy  [GEN]	PersonX can't find the switch
PersonX stops someone from leaving  xAttr  [GEN]	strong
PersonX is bent on making money  xIntent  [GEN]	to be wealthy
PersonX explains a feeling  xEffect  [GEN]	is understood by others
PersonX joins her employer  xReact  [GEN]	happy
PersonX ends her engagement  xEffect  [GEN]	is single
PersonX cancels the festival  xReact  [GEN]	disappointed
PersonX loves flowers  xReact  [GEN]	loved
PersonX demonstrates a new golf swing  xNeed  [GEN]	to try out a new golf swing
PersonX blocks his foot  xEffect  [GEN]	is a little clumsy
PersonX is careless in sending a letter  xReact  [GEN]	disappointed
PersonX offers a peace-making gift  HinderedBy  [GEN]	PersonX can't find a gift
PersonX receives a job promotion  xNeed  [GEN]	to apply
PersonX blocks PersonY's Facebook account  xIntent  [GEN]	to make PersonY angry
PersonX discusses an issue with PersonY  HinderedBy  [GEN]	PersonX doesn't know how to discuss an issue with PersonY
PersonX keeps in contact with PersonY  xEffect  [GEN]	is glad to see PersonY
PersonX makes a play  xReact  [GEN]	victorious
PersonX takes up painting  xReact  [GEN]	happy
PersonX loses the argument  xReact  [GEN]	disappointed
PersonX flosses teeth  xEffect  [GEN]	has better teeth
PersonX touches up the living room  xReact  [GEN]	proud
PersonX gets in the driver's seat  xReact  [GEN]	in control
PersonX follows PersonY’s every move  xIntent  [GEN]	to know what PersonY is thinking
PersonX contemplates human nature  HinderedBy  [GEN]	PersonX is afraid to talk to people
PersonX is saving his money  xIntent  [GEN]	to make money
PersonX wants to change his way of life  xReact  [GEN]	inspired
PersonX kept her promise  xReact  [GEN]	proud
PersonX is a conscientious student  xIntent  [GEN]	to be a good student
PersonX wishes for strength  xReact  [GEN]	strong
PersonX and PersonY are punished  xAttr  [GEN]	impulsive
PersonX is back in touch with PersonY  xEffect  [GEN]	is now friends with PersonY
PersonX seeks an audience  xIntent  [GEN]	to be a leader
PersonX is one of PersonY's children  xAttr  [GEN]	popular
PersonX gets a job in town  xAttr  [GEN]	intelligent
PersonX finds it rather hot  xWant  [GEN]	to keep it cool
PersonX does not speak  xIntent  [GEN]	to avoid conflict
PersonX learns to control her emotions  xEffect  [GEN]	is happier
PersonX never wants to hear that joke again  xEffect  [GEN]	is not amused
PersonX swims in the rain  xIntent  [GEN]	to be healthy
PersonX understands why PersonY did what she did  xAttr  [GEN]	smart
PersonX repairs the window  xNeed  [GEN]	to have the tools
PersonX loses a project  xWant  [GEN]	to work on a new project
PersonX believes in the freedom of choice  xReact  [GEN]	happy
PersonX has fun with PersonY's children  xReact  [GEN]	excited
PersonX remembers a time PersonY got on her nerves  xReact  [GEN]	frustrated
PersonX tries to steal money  xWant  [GEN]	to stop stealing
PersonX wanted to be a firefighter  xEffect  [GEN]	is a firefighter
PersonX jumps in with both feet  xWant  [GEN]	to get good at basketball
PersonX earns a dollar an hour  HinderedBy  [GEN]	PersonX doesn't have a job
PersonX lives by a schedule  xIntent  [GEN]	to be prepared for any situation
PersonX gets a good mark on a test  HinderedBy  [GEN]	PersonX doesn't study
PersonX just wants to share the news  xAttr  [GEN]	friendly
PersonX hates to sleep  xIntent  [GEN]	to get out of bed
PersonX meets a stranger on the street  xAttr  [GEN]	friendly
PersonX gets in touch with an old friend  xReact  [GEN]	encouraged
PersonX lives in a special place  xIntent  [GEN]	to have a special place in his life
PersonX serves as mediator  xReact  [GEN]	helpful
PersonX meets the wrong person  xEffect  [GEN]	is embarrassed
PersonX goes back to baking  xWant  [GEN]	to be a baker
PersonX likes their photo  xIntent  [GEN]	to remember the event
PersonX considers a new perspective  HinderedBy  [GEN]	PersonX is too busy to think about a new perspective
PersonX tells someone  xReact  [GEN]	happy
PersonX learns to walk  xReact  [GEN]	delighted
PersonX puts on headphones  xWant  [GEN]	to listen to music
PersonX tosses PersonY up in the air  xIntent  [GEN]	to punish PersonY
PersonX shares a photo with PersonY  xIntent  [GEN]	to show PersonY his family
PersonX sells vegetables  HinderedBy  [GEN]	PersonX is too busy to work
PersonX is among the strongest  xNeed  [GEN]	to do well in his strength class
PersonX does not want to sleep  xEffect  [GEN]	gets up early
PersonX refuses to volunteer to help at the hospital  xIntent  [GEN]	to avoid responsibility
PersonX makes everyone walk through PersonY's home  xIntent  [GEN]	to make everybody feel welcome
PersonX hits PersonY in the stomach  xAttr  [GEN]	violent
PersonX leads PersonY to God  xAttr  [GEN]	religious
PersonX and PersonY chat about the old days  xEffect  [GEN]	and PersonY reminisce
PersonX studies hard, unlike PersonY  xIntent  [GEN]	to be better than PersonY
PersonX meets a friend for dinner  xWant  [GEN]	to eat out
PersonX follows PersonY in the park  xIntent  [GEN]	to be close to PersonY
PersonX begins to learn to play the violin  xReact  [GEN]	curious
PersonX wraps up PersonY  xAttr  [GEN]	strong
PersonX wants to attend the meeting  xNeed  [GEN]	to be interested in the meeting
PersonX demands the truth  HinderedBy  [GEN]	PersonX is afraid to speak the truth
PersonX has been elected as a member of the Senate  xReact  [GEN]	pleased
PersonX argues with the police  xAttr  [GEN]	aggressive
PersonX performs at the theatre  HinderedBy  [GEN]	PersonX is sick
PersonX sees PersonY in black clothes  HinderedBy  [GEN]	PersonX doesn't know PersonY is in black clothes
PersonX whips up a mob  xReact  [GEN]	powerful
PersonX has a strong, loyal dog  xAttr  [GEN]	a dog lover
PersonX makes a quick trip  xIntent  [GEN]	to see the sights
PersonX finds someone to blame  xAttr  [GEN]	smart
PersonX is eager to start right away  xReact  [GEN]	eager
PersonX changes language  xIntent  [GEN]	to be more fluent
PersonX mentions the incident  xReact  [GEN]	disappointed
