PersonX announces the result  xWant  [GEN]	to be proud of the result
PersonX takes a diploma  HinderedBy  [GEN]	PersonX can't pass the coursework
PersonX is ranting  xEffect  [GEN]	becomes a little angry
PersonX is practicing  xEffect  [GEN]	is better at his piano
PersonX is the best person for the job  xIntent  [GEN]	to be successful
PersonX visits a new town  xReact  [GEN]	friendly
PersonX organizes others to work  HinderedBy  [GEN]	PersonX is lazy
PersonX informs PersonY about her surprise  xAttr  [GEN]	wise
PersonX doesn't kill anyone  xEffect  [GEN]	has a safe life
PersonX seems to hear PersonY  xIntent  [GEN]	to hear PersonY's voice
PersonX can't help telling  xEffect  [GEN]	is very upset
PersonX wears a suit  xAttr  [GEN]	fashionable
PersonX thinks PersonY's idea is brilliant  xReact  [GEN]	confident
PersonX bares PersonY's heart  HinderedBy  [GEN]	PersonX is not loyal to PersonY
PersonX throws down PersonY's gauntlet  xEffect  [GEN]	is scolded by PersonY
PersonX gives up and goes away  xIntent  [GEN]	to be free
PersonX weighs it all  xAttr  [GEN]	intelligent
PersonX does a huge favor for PersonY  xEffect  [GEN]	is thanked by PersonY
PersonX holds PersonY's baby  HinderedBy  [GEN]	PersonX doesn't have a baby
PersonX is tested for the job  xEffect  [GEN]	is hired
PersonX provides for a rainy day  xAttr  [GEN]	reliable
PersonX eats lots of candy  xIntent  [GEN]	to be a good person
PersonX gives out advice  xEffect  [GEN]	is liked
PersonX puts in a lot of time  HinderedBy  [GEN]	PersonX is sick
PersonX claims to have forgiven PersonY  xIntent  [GEN]	to be remembered
PersonX moves a towel out of the way  HinderedBy  [GEN]	PersonX can't find the towel
PersonX cuts off PersonY's finger  xIntent  [GEN]	to punish PersonY
PersonX digs deep  xNeed  [GEN]	to be digging deep
PersonX moves to China  xIntent  [GEN]	to be closer to his family
PersonX makes a fuss about PersonY  xNeed  [GEN]	to be annoyed by PersonY
PersonX wins a grand prize  xAttr  [GEN]	smart
PersonX makes shoes  HinderedBy  [GEN]	PersonX can't find any tools
PersonX is considered the blame  xReact  [GEN]	guilty
PersonX slips on the floor  xEffect  [GEN]	has a sore back
PersonX sees Fred  xEffect  [GEN]	's view of Fred is altered
PersonX is crafty  xWant  [GEN]	to be a tool
PersonX starts over  xAttr  [GEN]	ambitious
PersonX fixes the problem  xWant  [GEN]	to fix the problem
PersonX pulls PersonY back  xReact  [GEN]	relieved
PersonX doesn't understand what it means  xAttr  [GEN]	ignorant
PersonX borrows a toy  xReact  [GEN]	guilty
PersonX and PersonY form a mutual contract  xEffect  [GEN]	and PersonY are happy
PersonX befriends a baby  xIntent  [GEN]	to help a baby
PersonX reads a text  xWant  [GEN]	to read more
PersonX brings back water  xEffect  [GEN]	makes some friends
PersonX has a friend over for dinner  HinderedBy  [GEN]	PersonX is in a coma
PersonX gets a car  xEffect  [GEN]	is proud of his mother
PersonX visits a sick friend  xIntent  [GEN]	to help people
PersonX writes a beautiful poem  HinderedBy  [GEN]	PersonX is a horrible poet
PersonX writes the blog post  xIntent  [GEN]	to have a voice
PersonX has been considered PersonY's best friend  xIntent  [GEN]	to be a good friend
PersonX learns a new job  xAttr  [GEN]	intelligent
PersonX considers the other person’s needs  xIntent  [GEN]	to help out the other person
PersonX severs relations with PersonY  xReact  [GEN]	upset
PersonX learns of a storm  HinderedBy  [GEN]	PersonX is too afraid to fly on a stormy day
PersonX is a big fan of ice hockey  HinderedBy  [GEN]	PersonX is allergic to ice
PersonX throws down PersonY's gauntlet  HinderedBy  [GEN]	PersonX is afraid to throw the gauntlet
PersonX works out at the gym  xAttr  [GEN]	energetic
PersonX writes notes  HinderedBy  [GEN]	PersonX is on vacation
PersonX has never had a Christmas like this  xEffect  [GEN]	is bored
PersonX sees PersonY’s future  xNeed  [GEN]	to have seen PersonY
PersonX and PersonY form a mutual contract  xNeed  [GEN]	to have a relationship with PersonY
PersonX waits for PersonY to come back  xIntent  [GEN]	to see PersonY back
PersonX wants to give up smoking  HinderedBy  [GEN]	PersonX is afraid of smoking
PersonX bares PersonY's heart  xWant  [GEN]	to fight PersonY
PersonX stomps his feet  xIntent  [GEN]	to be sure of his abilities
PersonX promises it will be a success  HinderedBy  [GEN]	PersonX can't find the words to tell the promise
PersonX organizes others to work  xIntent  [GEN]	to have people around
PersonX visits the elderly  xEffect  [GEN]	learns about people in the house
PersonX becomes friendlier  HinderedBy  [GEN]	PersonX doesn't talk to PersonX
PersonX explains the puzzle  xReact  [GEN]	proud
PersonX disappears for a few minutes  xIntent  [GEN]	to get away from her problems
PersonX can't hold back  xIntent  [GEN]	to be successful
PersonX helps PersonY do homework  HinderedBy  [GEN]	PersonX doesn't know how to do homework
PersonX is too drunk to walk  xAttr  [GEN]	irresponsible
PersonX makes it to the first five  HinderedBy  [GEN]	PersonX is injured
PersonX promises it will be a success  xIntent  [GEN]	to keep his promise
PersonX asks PersonY to help out  xEffect  [GEN]	gets to spend time with PersonY
PersonX stops for a haircut  xReact  [GEN]	pleased
PersonX can't hold back  HinderedBy  [GEN]	PersonX is too shy to speak in public
PersonX listens to The Beatles  xAttr  [GEN]	a song and dance artist
PersonX finds PersonY's jacket  xEffect  [GEN]	is happy to see PersonY
PersonX continues to offer PersonY resistance  xNeed  [GEN]	to do something to stop PersonY from being hostile
PersonX studies different opinions  xNeed  [GEN]	to read different books
PersonX meets a person in church  xNeed  [GEN]	to go to a religious event
PersonX gets on the bus with PersonY  xIntent  [GEN]	to be with PersonY
PersonX grows grass  HinderedBy  [GEN]	PersonX is afraid of grass
PersonX and PersonY embrace each other  xReact  [GEN]	safe and happy
PersonX wakes up in the bathtub  xEffect  [GEN]	loses his sense of humor
PersonX sits on the cat  xReact  [GEN]	calm
PersonX cannot tell how to solve a math problem  xWant  [GEN]	to be able to solve problems
PersonX is self-sufficient  xIntent  [GEN]	to be independent
PersonX learns to live with her misfortune  xWant  [GEN]	to be loved
PersonX puts down roots  xEffect  [GEN]	has a new life
PersonX reads PersonY's books  xAttr  [GEN]	smart
PersonX tells PersonY to trust her  xAttr  [GEN]	trustworthy
PersonX cuts her finger off with scissors  xIntent  [GEN]	to be able to see the result
PersonX and PersonY paint the wall  HinderedBy  [GEN]	PersonX is too tired to paint the wall
PersonX wants to give up smoking  xReact  [GEN]	pleased
PersonX and PersonY go to the garden  HinderedBy  [GEN]	PersonX is sick
PersonX checks the garage  xWant  [GEN]	to fix the work
PersonX travels without a suitcase  HinderedBy  [GEN]	PersonX has a suitcase
PersonX cuts her finger off with scissors  xAttr  [GEN]	a pain in the neck
PersonX carves a totem pole  xIntent  [GEN]	to be creative
PersonX looks at rabbits  xReact  [GEN]	interested
PersonX finds a solution  xEffect  [GEN]	is thanked by God
PersonX shouts at the audience  xAttr  [GEN]	a leader
PersonX remembers how PersonY smiled  xIntent  [GEN]	to know how PersonY smiled
PersonX hires the hitman  xNeed  [GEN]	to have a specific job
PersonX feels obligated to do it  xEffect  [GEN]	does it
PersonX tries out a new dance step  xWant  [GEN]	to dance better
PersonX tells PersonY she is a bad mother  xReact  [GEN]	hurt
PersonX devises a new experiment  xWant  [GEN]	to try his stuff
PersonX helps PersonY with her jacket  xWant  [GEN]	to get PersonY a jacket
PersonX and PersonY share milk  xIntent  [GEN]	to be nice to PersonY
PersonX doesn’t get involved  xIntent  [GEN]	to be just like his friends
PersonX throws down PersonY's gauntlet  xReact  [GEN]	powerful
PersonX devises a new experiment  xReact  [GEN]	brave
PersonX won't sit down  xIntent  [GEN]	to be more independent
PersonX is obliged to go on a mission  xEffect  [GEN]	is thanked by his friends
PersonX has to listen to nonsense  HinderedBy  [GEN]	PersonX is too busy to listen
PersonX is easily flattered  xEffect  [GEN]	is jealous
PersonX wears an orange shirt  HinderedBy  [GEN]	PersonX wears an orange jacket
PersonX is ranting  xReact  [GEN]	guilty
