PersonX finds and turns on the lights  HinderedBy  [GEN]	PersonX will not be able to see.
PersonX stops someone from leaving  xAttr  [GEN]	friendly
PersonX is bent on making money  xIntent  [GEN]	to live an existence
PersonX explains a feeling  xEffect  [GEN]	gets a lot of energy
PersonX joins her employer  xReact  [GEN]	excited and proud of his arrival.
PersonX ends her engagement  xEffect  [GEN]	becomes a wife
PersonX cancels the festival  xReact  [GEN]	good
PersonX loves flowers  xReact  [GEN]	good about herself
PersonX demonstrates a new golf swing  xNeed  [GEN]	to make lots of tests
PersonX blocks his foot  xEffect  [GEN]	he gets hurt
PersonX is careless in sending a letter  xReact  [GEN]	guilty
PersonX offers a peace-making gift  HinderedBy  [GEN]	The doctor is forcing personX to give the gift.
PersonX receives a job promotion  xNeed  [GEN]	to find a recruiter
PersonX blocks PersonY's Facebook account  xIntent  [GEN]	to annoy
PersonX discusses an issue with PersonY  HinderedBy  [GEN]	PersonY doesn't want to discuss important matters
PersonX keeps in contact with PersonY  xEffect  [GEN]	Gets a hold on what y wants
PersonX makes a play  xReact  [GEN]	excited
PersonX takes up painting  xReact  [GEN]	proud
PersonX loses the argument  xReact  [GEN]	angry
PersonX flosses teeth  xEffect  [GEN]	eats in restaurant
PersonX touches up the living room  xReact  [GEN]	satisfied
PersonX gets in the driver's seat  xReact  [GEN]	anxious
PersonX follows PersonY’s every move  xIntent  [GEN]	to obey
PersonX contemplates human nature  HinderedBy  [GEN]	The man is making no sense to anyone.
PersonX is saving his money  xIntent  [GEN]	to take a job.
PersonX wants to change his way of life  xReact  [GEN]	satisfied
PersonX kept her promise  xReact  [GEN]	satisfied
PersonX is a conscientious student  xIntent  [GEN]	to get a proper education.
PersonX wishes for strength  xReact  [GEN]	happy to do all the work they do
PersonX and PersonY are punished  xAttr  [GEN]	annoyed
PersonX is back in touch with PersonY  xEffect  [GEN]	watches whats going on
PersonX seeks an audience  xIntent  [GEN]	to win
PersonX is one of PersonY's children  xAttr  [GEN]	maternal
PersonX gets a job in town  xAttr  [GEN]	good working class
PersonX finds it rather hot  xWant  [GEN]	put down the towel
PersonX does not speak  xIntent  [GEN]	none
PersonX learns to control her emotions  xEffect  [GEN]	thinks deeply about decision to
PersonX never wants to hear that joke again  xEffect  [GEN]	goes home and is alone
PersonX swims in the rain  xIntent  [GEN]	to wash dishes well
PersonX understands why PersonY did what she did  xAttr  [GEN]	smart
PersonX repairs the window  xNeed  [GEN]	to see if it is broken
PersonX loses a project  xWant  [GEN]	to wait to finish it
PersonX believes in the freedom of choice  xReact  [GEN]	happy, proud
PersonX has fun with PersonY's children  xReact  [GEN]	happy
PersonX remembers a time PersonY got on her nerves  xReact  [GEN]	relieved
PersonX tries to steal money  xWant  [GEN]	to rob a bank
PersonX wanted to be a firefighter  xEffect  [GEN]	went to the fire department
PersonX jumps in with both feet  xWant  [GEN]	to have fun
PersonX earns a dollar an hour  HinderedBy  [GEN]	PersonX earns too much right now.
PersonX lives by a schedule  xIntent  [GEN]	none
PersonX gets a good mark on a test  HinderedBy  [GEN]	Person X does not have the information to read the test instructions.
PersonX just wants to share the news  xAttr  [GEN]	thoughtful
PersonX hates to sleep  xIntent  [GEN]	to be asleep
PersonX meets a stranger on the street  xAttr  [GEN]	sociable
PersonX gets in touch with an old friend  xReact  [GEN]	interested
PersonX lives in a special place  xIntent  [GEN]	to live where they want to live
PersonX serves as mediator  xReact  [GEN]	informed
PersonX meets the wrong person  xEffect  [GEN]	PersonX loses respect
PersonX goes back to baking  xWant  [GEN]	enjoy a snack
PersonX likes their photo  xIntent  [GEN]	to be included
PersonX considers a new perspective  HinderedBy  [GEN]	PersonX is too attached to the current view to know what makes sense.
PersonX tells someone  xReact  [GEN]	accomplished
PersonX learns to walk  xReact  [GEN]	smart
PersonX puts on headphones  xWant  [GEN]	put on headphones
PersonX tosses PersonY up in the air  xIntent  [GEN]	to be responsible
PersonX shares a photo with PersonY  xIntent  [GEN]	to be helpful
PersonX sells vegetables  HinderedBy  [GEN]	PersonX can't put the vegetables.
PersonX is among the strongest  xNeed  [GEN]	to be strong
PersonX does not want to sleep  xEffect  [GEN]	Is relaxed
PersonX refuses to volunteer to help at the hospital  xIntent  [GEN]	none
PersonX makes everyone walk through PersonY's home  xIntent  [GEN]	to show off
PersonX hits PersonY in the stomach  xAttr  [GEN]	mean
PersonX leads PersonY to God  xAttr  [GEN]	smart
PersonX and PersonY chat about the old days  xEffect  [GEN]	none
PersonX studies hard, unlike PersonY  xIntent  [GEN]	to become competent
PersonX meets a friend for dinner  xWant  [GEN]	share the knowledge
PersonX follows PersonY in the park  xIntent  [GEN]	to make a good impression
PersonX begins to learn to play the violin  xReact  [GEN]	accomplished
PersonX wraps up PersonY  xAttr  [GEN]	loving
PersonX wants to attend the meeting  xNeed  [GEN]	to plan a meeting
PersonX demands the truth  HinderedBy  [GEN]	The truth is secret
