PersonX finds and turns on the lights  HinderedBy  [GEN]	PersonX can't find the switch	yes
PersonX stops someone from leaving  xAttr  [GEN]	strong	yes
PersonX is bent on making money  xIntent  [GEN]	to be wealthy	yes
PersonX explains a feeling  xEffect  [GEN]	is understood by others	yes
PersonX joins her employer  xReact  [GEN]	happy	yes
PersonX ends her engagement  xEffect  [GEN]	is single	yes
PersonX cancels the festival  xReact  [GEN]	disappointed	yes
PersonX loves flowers  xReact  [GEN]	loved	no
PersonX demonstrates a new golf swing  xNeed  [GEN]	to try out a new golf swing	yes
PersonX blocks his foot  xEffect  [GEN]	is a little clumsy	yes
PersonX is careless in sending a letter  xReact  [GEN]	disappointed	yes
PersonX offers a peace-making gift  HinderedBy  [GEN]	PersonX can't find a gift	yes
PersonX receives a job promotion  xNeed  [GEN]	to apply	yes
PersonX blocks PersonY's Facebook account  xIntent  [GEN]	to make PersonY angry	yes
PersonX discusses an issue with PersonY  HinderedBy  [GEN]	PersonX doesn't know how to discuss an issue with PersonY	yes
PersonX keeps in contact with PersonY  xEffect  [GEN]	is glad to see PersonY	yes
PersonX makes a play  xReact  [GEN]	victorious	yes
PersonX takes up painting  xReact  [GEN]	happy	yes
PersonX loses the argument  xReact  [GEN]	disappointed	yes
PersonX flosses teeth  xEffect  [GEN]	has better teeth	yes
PersonX touches up the living room  xReact  [GEN]	proud	no
PersonX gets in the driver's seat  xReact  [GEN]	in control	yes
PersonX follows PersonY’s every move  xIntent  [GEN]	to know what PersonY is thinking	yes
PersonX contemplates human nature  HinderedBy  [GEN]	PersonX is afraid to talk to people	yes
PersonX is saving his money  xIntent  [GEN]	to make money	yes
PersonX wants to change his way of life  xReact  [GEN]	inspired	yes
PersonX kept her promise  xReact  [GEN]	proud	yes
PersonX is a conscientious student  xIntent  [GEN]	to be a good student	yes
PersonX wishes for strength  xReact  [GEN]	strong	yes
PersonX and PersonY are punished  xAttr  [GEN]	impulsive	yes
PersonX is back in touch with PersonY  xEffect  [GEN]	is now friends with PersonY	yes
PersonX seeks an audience  xIntent  [GEN]	to be a leader	no
PersonX is one of PersonY's children  xAttr  [GEN]	popular	yes
PersonX gets a job in town  xAttr  [GEN]	intelligent	yes
PersonX finds it rather hot  xWant  [GEN]	to keep it cool	yes
PersonX does not speak  xIntent  [GEN]	to avoid conflict	yes
PersonX learns to control her emotions  xEffect  [GEN]	is happier	yes
PersonX never wants to hear that joke again  xEffect  [GEN]	is not amused	yes
PersonX swims in the rain  xIntent  [GEN]	to be healthy	no
PersonX understands why PersonY did what she did  xAttr  [GEN]	smart	yes
PersonX repairs the window  xNeed  [GEN]	to have the tools	yes
PersonX loses a project  xWant  [GEN]	to work on a new project	yes
PersonX believes in the freedom of choice  xReact  [GEN]	happy	no
PersonX has fun with PersonY's children  xReact  [GEN]	excited	yes
PersonX remembers a time PersonY got on her nerves  xReact  [GEN]	frustrated	yes
PersonX tries to steal money  xWant  [GEN]	to stop stealing	yes
PersonX wanted to be a firefighter  xEffect  [GEN]	is a firefighter	yes
PersonX jumps in with both feet  xWant  [GEN]	to get good at basketball	no
PersonX earns a dollar an hour  HinderedBy  [GEN]	PersonX doesn't have a job	yes
PersonX lives by a schedule  xIntent  [GEN]	to be prepared for any situation	yes
PersonX gets a good mark on a test  HinderedBy  [GEN]	PersonX doesn't study	yes
PersonX just wants to share the news  xAttr  [GEN]	friendly	yes
PersonX hates to sleep  xIntent  [GEN]	to get out of bed	yes
PersonX meets a stranger on the street  xAttr  [GEN]	friendly	yes
PersonX gets in touch with an old friend  xReact  [GEN]	encouraged	no
PersonX lives in a special place  xIntent  [GEN]	to have a special place in his life	yes
PersonX serves as mediator  xReact  [GEN]	helpful	yes
PersonX meets the wrong person  xEffect  [GEN]	is embarrassed	yes
PersonX goes back to baking  xWant  [GEN]	to be a baker	yes
PersonX likes their photo  xIntent  [GEN]	to remember the event	yes
PersonX considers a new perspective  HinderedBy  [GEN]	PersonX is too busy to think about a new perspective	yes
PersonX tells someone  xReact  [GEN]	happy	no
PersonX learns to walk  xReact  [GEN]	delighted	yes
PersonX puts on headphones  xWant  [GEN]	to listen to music	yes
PersonX tosses PersonY up in the air  xIntent  [GEN]	to punish PersonY	yes
PersonX shares a photo with PersonY  xIntent  [GEN]	to show PersonY his family	yes
PersonX sells vegetables  HinderedBy  [GEN]	PersonX is too busy to work	yes
PersonX is among the strongest  xNeed  [GEN]	to do well in his strength class	yes
PersonX does not want to sleep  xEffect  [GEN]	gets up early	yes
PersonX refuses to volunteer to help at the hospital  xIntent  [GEN]	to avoid responsibility	yes
PersonX makes everyone walk through PersonY's home  xIntent  [GEN]	to make everybody feel welcome	yes
PersonX hits PersonY in the stomach  xAttr  [GEN]	violent	yes
PersonX leads PersonY to God  xAttr  [GEN]	religious	yes
PersonX and PersonY chat about the old days  xEffect  [GEN]	and PersonY reminisce	yes
PersonX studies hard, unlike PersonY  xIntent  [GEN]	to be better than PersonY	yes
PersonX meets a friend for dinner  xWant  [GEN]	to eat out	no
PersonX follows PersonY in the park  xIntent  [GEN]	to be close to PersonY	yes
PersonX begins to learn to play the violin  xReact  [GEN]	curious	no
PersonX wraps up PersonY  xAttr  [GEN]	strong	yes
PersonX wants to attend the meeting  xNeed  [GEN]	to be interested in the meeting	yes
PersonX demands the truth  HinderedBy  [GEN]	PersonX is afraid to speak the truth	yes
PersonX has been elected as a member of the Senate  xReact  [GEN]	pleased	yes
PersonX argues with the police  xAttr  [GEN]	aggressive	yes
PersonX performs at the theatre  HinderedBy  [GEN]	PersonX is sick	yes
PersonX sees PersonY in black clothes  HinderedBy  [GEN]	PersonX doesn't know PersonY is in black clothes	no
PersonX whips up a mob  xReact  [GEN]	powerful	no
PersonX has a strong, loyal dog  xAttr  [GEN]	a dog lover	yes
PersonX makes a quick trip  xIntent  [GEN]	to see the sights	yes
PersonX finds someone to blame  xAttr  [GEN]	smart	yes
PersonX is eager to start right away  xReact  [GEN]	eager	yes
PersonX changes language  xIntent  [GEN]	to be more fluent	yes
PersonX mentions the incident  xReact  [GEN]	disappointed	yes
PersonX proves his love  HinderedBy  [GEN]	PersonX is too shy to say it	yes
PersonX works in the area  xIntent  [GEN]	to be a part of the community	no
PersonX commits to a cause  xAttr  [GEN]	committed	yes
PersonX wants something  xEffect  [GEN]	gets it	yes
PersonX buys a new camera  xEffect  [GEN]	takes pictures	yes
PersonX writes a newsletter  xAttr  [GEN]	knowledgeable	yes
PersonX is fashionable  HinderedBy  [GEN]	PersonX can't find any fashionable clothing	yes
PersonX succeeds in stopping smoking  xAttr  [GEN]	a leader	no
"PersonX is voted ""Most Likely to Succeed""  xEffect  [GEN]"	is confident	yes
PersonX tries to be strong  HinderedBy  [GEN]	PersonX is too tired to exercise	yes
PersonX sways PersonY  xReact  [GEN]	confident	no
PersonX keeps on trying  HinderedBy  [GEN]	PersonX is not strong enough to try	yes
PersonX heads to a restaurant  xIntent  [GEN]	to eat a meal	yes
PersonX is elected to parliament  xReact  [GEN]	proud	yes
PersonX helps PersonY realize  xReact  [GEN]	happy	yes
PersonX arrives early  xIntent  [GEN]	to be on time	yes
PersonX says something optimistic  HinderedBy  [GEN]	PersonX is depressed	yes
PersonX gets kicked out of the bathroom  xReact  [GEN]	angry	yes
PersonX laughs happily  xEffect  [GEN]	is happy	yes
PersonX is on the verge of giving up  xAttr  [GEN]	depressed	yes
PersonX moves into a van  xAttr  [GEN]	adventurous	yes
PersonX makes noise with music  xEffect  [GEN]	is criticized by teacher	yes
PersonX folds a sheet of paper  xIntent  [GEN]	to do his homework	no
PersonX starts to read the paper  xReact  [GEN]	interested	yes
PersonX looses his reputation  xEffect  [GEN]	is ridiculed	yes
PersonX exchanges the dress  xEffect  [GEN]	is pleased with the dress	yes
PersonX gets lost in PersonY’s words  xWant  [GEN]	to be more like PersonY	no
PersonX tries to entice PersonY  xAttr  [GEN]	flirtatious	yes
PersonX makes a plan to be friendly  xAttr  [GEN]	friendly	yes
PersonX mows the lawn  xReact  [GEN]	productive	yes
PersonX made a radical move  HinderedBy  [GEN]	PersonX can't find the courage to do it	yes
PersonX takes care of people’s needs  xAttr  [GEN]	compassionate	yes
PersonX confirms what was seen  xIntent  [GEN]	to be certain	yes
PersonX is a dedicated student  HinderedBy  [GEN]	PersonX is lazy in school	yes
PersonX tries to find out who stole the money  xWant  [GEN]	to find out who stole the money	yes
PersonX wants to be accepted  xIntent  [GEN]	to be more popular	yes
PersonX gets in the way of the police  xAttr  [GEN]	irresponsible	yes
PersonX gains a competitive edge  xAttr  [GEN]	a hard worker	yes
PersonX attempts to pacify  xIntent  [GEN]	to make peace	yes
PersonX is invited by PersonY to visit  xEffect  [GEN]	visits PersonY	yes
PersonX finds the wrong door  xReact  [GEN]	frustrated	yes
PersonX takes an advanced course  xReact  [GEN]	smart	yes
PersonX follows his own instincts  xIntent  [GEN]	to make the right decision	yes
